Nov 26, 2016 10:43:59 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 26, 2016 10:43:59 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 26, 2016 10:43:59 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 26, 2016 10:43:59 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 24 ms. row count = 105
omegaartworld.com,1.1162899565243158E-4,182512
firewall.happytohell.com,7.567783879559525E-4,762430
firewall.happytohell.com,9.970323113290386E-4,928542
61.178.77.169,2.1316116153661265E-5,46262
nginx,2.3252380515456736E-5,50161
nginx,2.3252380515456736E-5,50162
nginx,2.3252380515456736E-5,50163
nginx,2.3252380515456736E-5,50164
nginx,2.3252380515456736E-5,50165
nginx,2.3252380515456736E-5,50166
www.dnswatch.info,2.8282441850841056E-5,59532
64.235.43.131,3.0681319161950645E-5,63767
64.235.43.131,3.0681319161950645E-5,63768
nginx/0.7.67\r\n,3.0681319161950645E-5,63769
nginx/0.7.67\r\n,3.0681319161950645E-5,63770
mugspade.ru,1.775450089497179E-4,257934
mugspade.ru,1.8928590810180372E-4,270866
omegaartworld.com,3.1452422100363114E-4,400187
vcvcvcvc.dyndns.org ,2.0169455019584367E-6,1823
vcvcvcvc.dyndns.org ,2.0175262557084E-6,1825
vcvcvcvc.dyndns.org ,3.561400483445954E-6,5915
vcvcvcvc.dyndns.org ,3.5614004834461814E-6,5916
vcvcvcvc.dyndns.org ,3.5614004834463047E-6,5917
www.dnswatch.info,3.581398266656878E-6,5953
vcvcvcvc.dyndns.org ,4.036858570585554E-6,7113
vcvcvcvc.dyndns.org ,4.0368586440228925E-6,7114
vcvcvcvc.dyndns.org ,4.037409596948315E-6,7119
vcvcvcvc.dyndns.org ,4.037409642374549E-6,7120
trapbath.ru,7.502673266379002E-6,16288
trapbath.ru,7.502706285723132E-6,16289
trapbath.ru,7.505141140605289E-6,16291
61.178.77.170,7.655191106178217E-6,16682
nginx/0.7.67\r\n,7.658932791253337E-6,16691
nginx/0.7.67\r\n,7.665321584119253E-6,16702
rwyngtbvunfpk.org\r\n,7.667467660092492E-6,16706
rwyngtbvunfpk.org\r\n,7.667467660092492E-6,16707
rwyngtbvunfpk.org\r\n,7.667467660092492E-6,16708
takeinfo.ru\r\n,7.667467660092492E-6,16709
dgyqimolcqm.cm\r\n,7.667467660092492E-6,16710
dgyqimolcqm.cm\r\n,7.667467660092492E-6,16711
dgyqimolcqm.cm\r\n,7.667467660092492E-6,16712
dgyqimolcqm.cm\r\n,7.667467660092492E-6,16713
64.235.43.131,7.743753997363211E-6,16915
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,7.750681746710817E-6,16932
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,7.750681746710817E-6,16933
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,7.750681746710817E-6,16934
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,7.750681746710817E-6,16935
trapbath.ru,7.750681746710817E-6,16936
trapbath.ru,7.750681746710817E-6,16937
trapbath.ru,7.750681746710817E-6,16938
sgb-sy.com,7.750681746710817E-6,16939
sgb-sy.com,7.750681746710817E-6,16940
sgb-sy.com,7.750681746710817E-6,16941
sgb-sy.com,7.750681746710817E-6,16942
telecrop.com,7.750681746710817E-6,16943
telecrop.com,7.750681746710817E-6,16944
telecrop.com,7.750681746710817E-6,16945
telecrop.com,7.750681746710817E-6,16946
nginx,7.750681746710817E-6,16947
nginx,7.750681746710817E-6,16948
www.download.windowsupdate.com,7.750681746710817E-6,16949
www.download.windowsupdate.com,7.750681746710817E-6,16950
www.download.windowsupdate.com,7.750681746710817E-6,16951
www.download.windowsupdate.com,7.750681746710817E-6,16952
www.download.windowsupdate.com,7.750681746710817E-6,16953
64.235.43.131,7.754785473299805E-6,16959
146.185.213.35,7.837000539193066E-6,17150
61.178.77.169,9.133290309052074E-6,20245
trapbath.ru,9.528079456317149E-6,21177
trapbath.ru,1.5012670990591705E-5,33397
rwyngtbvunfpk.org\r\n,1.5335227611654735E-5,34034
rwyngtbvunfpk.org\r\n,1.5335227611654735E-5,34035
64.235.43.131,1.5335227611654735E-5,34036
64.235.43.131,1.5335227611654735E-5,34037
64.235.43.131,1.5335227611654735E-5,34038
takeinfo.ru\r\n,1.5335227611654735E-5,34039
takeinfo.ru\r\n,1.5335227611654735E-5,34040
takeinfo.ru\r\n,1.5335227611654735E-5,34041
takeinfo.ru\r\n,1.5335227611654735E-5,34042
nginx/0.7.67\r\n,1.5335227611654735E-5,34043
trapbath.ru,1.5501531103132057E-5,34446
trapbath.ru,1.5501531103132057E-5,34447
64.235.43.131,1.5501531103132057E-5,34448
64.235.43.131,1.5501531103132057E-5,34449
sgb-sy.com,1.5501531103132057E-5,34450
sgb-sy.com,1.5501531103132057E-5,34451
telecrop.com,1.5501531103132057E-5,34452
telecrop.com,1.5501531103132057E-5,34453
nginx,1.5501531103132057E-5,34454
nginx,1.5501531103132057E-5,34455
64.235.43.131,1.551340730273314E-5,34481
64.235.43.131,1.551340730273314E-5,34482
www.dnswatch.info,1.7690924947192655E-5,39100
trapbath.ru,1.9056675166058483E-5,41802
146.185.213.35,6.738149411898932E-5,122194
146.185.213.35,7.76976532677879E-5,136669
firewall.happytohell.com,8.79712337324992E-4,850891
firewall.happytohell.com,0.00119130869448435,1051060
www.redlinesys.net,2.550264875088158E-4,341494
firewall.happytohell.com,2.746065687887722E-4,361700
www.redlinesys.net,3.984871381349467E-4,478042
mugspade.ru,4.136376341938738E-4,491728
www.redlinesys.net,0.0015817148656557024,1280365
firewall.happytohell.com,0.0010475398710431383,960404
omegaartworld.com,0.0019199529087930449,1448118
