"host","score","rank","label","y","TP","FP"
"1","1",0,"null",0,0,0
"trapbath.ru","3.84434014542244e-06",2822,"bad",1,0.00952380952380952,0.000310898463473401
"trapbath.ru","3.84434014609096e-06",2823,"bad",2,0.019047619047619,0.000310898463473401
"61.178.77.169","6.45589999038213e-06",7404,"bad",3,0.0285714285714286,0.000816011965675663
"www.dnswatch.info","1.01974347562499e-05",14239,"bad",4,0.0380952380952381,0.0015697118945076
"vcvcvcvc.dyndns.org ","1.02535522757373e-05",14343,"bad",5,0.0476190476190476,0.0015810714339676
"vcvcvcvc.dyndns.org ","1.02536352234041e-05",14344,"bad",6,0.0571428571428571,0.0015810714339676
"vcvcvcvc.dyndns.org ","1.02536500807591e-05",14345,"bad",7,0.0666666666666667,0.0015810714339676
"61.178.77.169","1.06403389539513e-05",15027,"bad",8,0.0761904761904762,0.0016561767385527
"vcvcvcvc.dyndns.org ","1.32469927926014e-05",19373,"bad",9,0.0857142857142857,0.00213537284489961
"vcvcvcvc.dyndns.org ","1.32783151768081e-05",19457,"bad",10,0.0952380952380952,0.00214452664854214
"61.178.77.170","1.36815711791023e-05",20102,"bad",11,0.104761904761905,0.0022155513418649
"trapbath.ru","1.37584274236429e-05",20246,"bad",12,0.114285714285714,0.00223132235295986
"trapbath.ru","1.37895355705634e-05",20320,"bad",13,0.123809523809524,0.00223937328869365
"nginx/0.7.67\r\n","1.72076348184005e-05",25878,"bad",14,0.133333333333333,0.00285223698557967
"nginx/0.7.67\r\n","1.72218738159577e-05",25891,"bad",15,0.142857142857143,0.00285356042707016
"rwyngtbvunfpk.org\r\n","1.72265914699148e-05",25904,"bad",16,0.152380952380952,0.00285488386856064
"rwyngtbvunfpk.org\r\n","1.72265914699148e-05",25905,"bad",17,0.161904761904762,0.00285488386856064
"rwyngtbvunfpk.org\r\n","1.72265914699148e-05",25906,"bad",18,0.171428571428571,0.00285488386856064
"takeinfo.ru\r\n","1.72265914699148e-05",25907,"bad",19,0.180952380952381,0.00285488386856064
"dgyqimolcqm.cm\r\n","1.72265914699148e-05",25908,"bad",20,0.19047619047619,0.00285488386856064
"dgyqimolcqm.cm\r\n","1.72265914699148e-05",25909,"bad",21,0.2,0.00285488386856064
"dgyqimolcqm.cm\r\n","1.72265914699148e-05",25910,"bad",22,0.20952380952381,0.00285488386856064
"dgyqimolcqm.cm\r\n","1.72265914699148e-05",25911,"bad",23,0.219047619047619,0.00285488386856064
"64.235.43.131","1.81319012263079e-05",27225,"bad",24,0.228571428571429,0.00299969042497802
"http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1","1.81483101697529e-05",27247,"bad",25,0.238095238095238,0.00300200644758637
"http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1","1.81483101697529e-05",27248,"bad",26,0.247619047619048,0.00300200644758637
"http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1","1.81483101697529e-05",27249,"bad",27,0.257142857142857,0.00300200644758637
"http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1","1.81483101697529e-05",27250,"bad",28,0.266666666666667,0.00300200644758637
"trapbath.ru","1.81483101697529e-05",27251,"bad",29,0.276190476190476,0.00300200644758637
"trapbath.ru","1.81483101697529e-05",27252,"bad",30,0.285714285714286,0.00300200644758637
"trapbath.ru","1.81483101697529e-05",27253,"bad",31,0.295238095238095,0.00300200644758637
"sgb-sy.com","1.81483101697529e-05",27254,"bad",32,0.304761904761905,0.00300200644758637
"sgb-sy.com","1.81483101697529e-05",27255,"bad",33,0.314285714285714,0.00300200644758637
"sgb-sy.com","1.81483101697529e-05",27256,"bad",34,0.323809523809524,0.00300200644758637
"sgb-sy.com","1.81483101697529e-05",27257,"bad",35,0.333333333333333,0.00300200644758637
"telecrop.com","1.81483101697529e-05",27258,"bad",36,0.342857142857143,0.00300200644758637
"telecrop.com","1.81483101697529e-05",27259,"bad",37,0.352380952380952,0.00300200644758637
"telecrop.com","1.81483101697529e-05",27260,"bad",38,0.361904761904762,0.00300200644758637
"telecrop.com","1.81483101697529e-05",27261,"bad",39,0.371428571428571,0.00300200644758637
"nginx","1.81483101697529e-05",27262,"bad",40,0.380952380952381,0.00300200644758637
"nginx","1.81483101697529e-05",27263,"bad",41,0.39047619047619,0.00300200644758637
"www.download.windowsupdate.com","1.81483101697529e-05",27264,"bad",42,0.4,0.00300200644758637
"www.download.windowsupdate.com","1.81483101697529e-05",27265,"bad",43,0.40952380952381,0.00300200644758637
"www.download.windowsupdate.com","1.81483101697529e-05",27266,"bad",44,0.419047619047619,0.00300200644758637
"www.download.windowsupdate.com","1.81483101697529e-05",27267,"bad",45,0.428571428571429,0.00300200644758637
