Nov 26, 2016 9:30:23 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 26, 2016 9:30:24 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 26, 2016 9:30:24 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 26, 2016 9:30:24 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 19 ms. row count = 105
firewall.happytohell.com,3.6386749831066306E-4,622669
omegaartworld.com,3.8062790016596675E-4,643911
trapbath.ru,7.90426006677349E-7,757
trapbath.ru,7.947855304200974E-7,765
trapbath.ru,8.613898397743337E-7,943
trapbath.ru,9.235755966104177E-7,1172
vcvcvcvc.dyndns.org ,1.5628012951179231E-6,3944
vcvcvcvc.dyndns.org ,1.6930115656837848E-6,4525
www.dnswatch.info,1.9793339668161044E-6,5820
vcvcvcvc.dyndns.org ,1.9880223043769664E-6,5863
vcvcvcvc.dyndns.org ,1.9880223043769664E-6,5864
vcvcvcvc.dyndns.org ,1.9880223043769664E-6,5865
61.178.77.170,2.037488241266538E-6,6085
61.178.77.169,2.0844081290373487E-6,6291
61.178.77.169,2.09778142798825E-6,6352
trapbath.ru,2.1274009019512162E-6,6489
trapbath.ru,2.1274009020698657E-6,6490
vcvcvcvc.dyndns.org ,3.126844918057271E-6,10754
vcvcvcvc.dyndns.org ,3.126844918057272E-6,10755
vcvcvcvc.dyndns.org ,3.386681289764466E-6,11811
vcvcvcvc.dyndns.org ,3.386681289764467E-6,11812
rwyngtbvunfpk.org\r\n,3.4716437052103763E-6,12188
rwyngtbvunfpk.org\r\n,3.4716437052103763E-6,12189
rwyngtbvunfpk.org\r\n,3.4716437052103763E-6,12190
takeinfo.ru\r\n,3.4716437052103763E-6,12191
dgyqimolcqm.cm\r\n,3.4716437052103763E-6,12192
dgyqimolcqm.cm\r\n,3.4716437052103763E-6,12193
dgyqimolcqm.cm\r\n,3.4716437052103763E-6,12194
dgyqimolcqm.cm\r\n,3.4716437052103763E-6,12195
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,3.4716689318092644E-6,12196
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,3.4716689318092644E-6,12197
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,3.4716689318092644E-6,12198
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,3.4716689318092644E-6,12199
trapbath.ru,3.4716689318092644E-6,12200
trapbath.ru,3.4716689318092644E-6,12201
trapbath.ru,3.4716689318092644E-6,12202
sgb-sy.com,3.4716689318092644E-6,12203
sgb-sy.com,3.4716689318092644E-6,12204
sgb-sy.com,3.4716689318092644E-6,12205
sgb-sy.com,3.4716689318092644E-6,12206
telecrop.com,3.4716689318092644E-6,12207
telecrop.com,3.4716689318092644E-6,12208
telecrop.com,3.4716689318092644E-6,12209
telecrop.com,3.4716689318092644E-6,12210
nginx,3.4716689318092644E-6,12211
nginx,3.4716689318092644E-6,12212
www.download.windowsupdate.com,3.4716689318092644E-6,12213
www.download.windowsupdate.com,3.4716689318092644E-6,12214
www.download.windowsupdate.com,3.4716689318092644E-6,12215
www.download.windowsupdate.com,3.4716689318092644E-6,12216
www.download.windowsupdate.com,3.4716689318092644E-6,12217
146.185.213.35,5.7756381821604425E-6,21010
rwyngtbvunfpk.org\r\n,6.943327748210629E-6,25313
rwyngtbvunfpk.org\r\n,6.943327748210629E-6,25314
64.235.43.131,6.943327748210629E-6,25315
64.235.43.131,6.943327748210629E-6,25316
64.235.43.131,6.943327748210629E-6,25317
takeinfo.ru\r\n,6.943327748210629E-6,25318
takeinfo.ru\r\n,6.943327748210629E-6,25319
takeinfo.ru\r\n,6.943327748210629E-6,25320
takeinfo.ru\r\n,6.943327748210629E-6,25321
nginx/0.7.67\r\n,6.943327748210629E-6,25322
nginx/0.7.67\r\n,6.943336400265307E-6,25323
64.235.43.131,6.9433522678350144E-6,25324
trapbath.ru,6.943360917284879E-6,25325
trapbath.ru,6.943360917284879E-6,25326
64.235.43.131,6.943360917284879E-6,25327
64.235.43.131,6.943360917284879E-6,25328
sgb-sy.com,6.943360917284879E-6,25329
sgb-sy.com,6.943360917284879E-6,25330
telecrop.com,6.943360917284879E-6,25331
telecrop.com,6.943360917284879E-6,25332
nginx,6.943360917284879E-6,25333
nginx,6.943360917284879E-6,25334
www.dnswatch.info,8.074971069742513E-6,29320
nginx/0.7.67\r\n,1.0415023342072927E-5,36817
64.235.43.131,1.0415047143472761E-5,36818
64.235.43.131,1.0415047143472761E-5,36819
nginx,1.0415052910445777E-5,36820
nginx,1.0415052910445777E-5,36821
nginx,1.0415052910445777E-5,36822
nginx,1.0415052910445777E-5,36823
nginx,1.0415052910445777E-5,36824
nginx,1.0415052910445777E-5,36825
mugspade.ru,4.996883778462172E-5,138720
www.redlinesys.net,1.8242117052281475E-4,383008
firewall.happytohell.com,1.982914478514007E-4,406891
www.redlinesys.net,9.694839173884737E-5,239326
omegaartworld.com,9.83127848751536E-5,242302
firewall.happytohell.com,1.0689452384474277E-4,258384
omegaartworld.com,1.0941897127532512E-4,263339
firewall.happytohell.com,1.144443436690869E-4,272482
firewall.happytohell.com,2.534943921731392E-4,482591
