Nov 26, 2016 10:18:48 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 26, 2016 10:18:48 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 26, 2016 10:18:48 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 26, 2016 10:18:48 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 24 ms. row count = 105
firewall.happytohell.com,2.0058803752656223E-4,355070
firewall.happytohell.com,5.981471840935544E-4,794659
146.185.213.35,1.5172655039010255E-5,43662
146.185.213.35,1.5881139086329547E-5,45482
mugspade.ru,1.6461187083111512E-5,46992
www.dnswatch.info,3.040621298456165E-5,79594
mugspade.ru,3.110367895241627E-5,81182
www.dnswatch.info,4.722603332112235E-5,114728
omegaartworld.com,1.0176545986321085E-4,211891
www.redlinesys.net,1.1258491254327705E-4,229672
omegaartworld.com,1.2316133594442524E-4,246532
www.redlinesys.net,1.2488389380042186E-4,248747
firewall.happytohell.com,0.0010108597361748418,1156059
firewall.happytohell.com,2.7445109395892337E-4,449622
trapbath.ru,1.123473436727347E-6,922
trapbath.ru,1.1234734367273585E-6,923
trapbath.ru,1.3838426165918893E-6,1615
trapbath.ru,1.4310168535328436E-6,1740
61.178.77.169,2.047682729073013E-6,3804
www.dnswatch.info,2.335540551814143E-6,4956
vcvcvcvc.dyndns.org ,2.3565469031210433E-6,5033
vcvcvcvc.dyndns.org ,2.3565493987671468E-6,5034
vcvcvcvc.dyndns.org ,2.3565502060798155E-6,5035
trapbath.ru,2.769485179441811E-6,6556
trapbath.ru,2.864144156104818E-6,6995
nginx/0.7.67\r\n,2.898930251536631E-6,7129
nginx/0.7.67\r\n,2.901527133307169E-6,7140
rwyngtbvunfpk.org\r\n,2.9026296810384637E-6,7148
rwyngtbvunfpk.org\r\n,2.9026296810384637E-6,7149
rwyngtbvunfpk.org\r\n,2.9026296810384637E-6,7150
takeinfo.ru\r\n,2.9026296810384637E-6,7151
dgyqimolcqm.cm\r\n,2.9026296810384637E-6,7152
dgyqimolcqm.cm\r\n,2.9026296810384637E-6,7153
dgyqimolcqm.cm\r\n,2.9026296810384637E-6,7154
dgyqimolcqm.cm\r\n,2.9026296810384637E-6,7155
64.235.43.131,3.0307640927988533E-6,7630
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,3.0328550074936823E-6,7640
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,3.0328550074936823E-6,7641
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,3.0328550074936823E-6,7642
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,3.0328550074936823E-6,7643
trapbath.ru,3.0328550074936823E-6,7644
trapbath.ru,3.0328550074936823E-6,7645
trapbath.ru,3.0328550074936823E-6,7646
sgb-sy.com,3.0328550074936823E-6,7647
sgb-sy.com,3.0328550074936823E-6,7648
sgb-sy.com,3.0328550074936823E-6,7649
sgb-sy.com,3.0328550074936823E-6,7650
telecrop.com,3.0328550074936823E-6,7651
telecrop.com,3.0328550074936823E-6,7652
telecrop.com,3.0328550074936823E-6,7653
