Nov 26, 2016 11:10:00 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 26, 2016 11:10:00 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 26, 2016 11:10:00 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 26, 2016 11:10:00 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 17 ms. row count = 105
vcvcvcvc.dyndns.org ,4.002439207046258E-6,3162
vcvcvcvc.dyndns.org ,4.178778789823801E-6,3448
vcvcvcvc.dyndns.org ,8.021090507619831E-6,10341
vcvcvcvc.dyndns.org ,8.021090657669919E-6,10342
vcvcvcvc.dyndns.org ,8.368429826793739E-6,10951
vcvcvcvc.dyndns.org ,8.368430046666858E-6,10952
146.185.213.35,1.1114662668527701E-5,15713
61.178.77.169,1.441367921165216E-5,21034
64.235.43.131,1.8545414569089266E-5,27594
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.8577783139674487E-5,27634
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.8577783139674487E-5,27635
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.8577783139674487E-5,27636
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.8577783139674487E-5,27637
trapbath.ru,1.8577783139674487E-5,27638
trapbath.ru,1.8577783139674487E-5,27639
trapbath.ru,1.8577783139674487E-5,27640
sgb-sy.com,1.8577783139674487E-5,27641
sgb-sy.com,1.8577783139674487E-5,27642
sgb-sy.com,1.8577783139674487E-5,27643
sgb-sy.com,1.8577783139674487E-5,27644
telecrop.com,1.8577783139674487E-5,27645
telecrop.com,1.8577783139674487E-5,27646
telecrop.com,1.8577783139674487E-5,27647
telecrop.com,1.8577783139674487E-5,27648
nginx,1.8577783139674487E-5,27649
nginx,1.8577783139674487E-5,27650
www.download.windowsupdate.com,1.8577783139674487E-5,27651
www.download.windowsupdate.com,1.8577783139674487E-5,27652
www.download.windowsupdate.com,1.8577783139674487E-5,27653
www.download.windowsupdate.com,1.8577783139674487E-5,27654
www.download.windowsupdate.com,1.8577783139674487E-5,27655
64.235.43.131,1.8579821022922397E-5,27658
vcvcvcvc.dyndns.org ,1.9393940486335097E-5,28923
vcvcvcvc.dyndns.org ,1.9393940486335097E-5,28924
vcvcvcvc.dyndns.org ,1.9393940486335104E-5,28925
www.dnswatch.info,1.939480114370444E-5,28927
61.178.77.169,2.0360518216309855E-5,30507
trapbath.ru,2.091601530057696E-5,31365
trapbath.ru,2.3881380300068086E-5,35839
nginx/0.7.67\r\n,2.520642308474544E-5,37636
rwyngtbvunfpk.org\r\n,2.5219189095526567E-5,37669
rwyngtbvunfpk.org\r\n,2.5219189095526567E-5,37670
rwyngtbvunfpk.org\r\n,2.5219189095526567E-5,37671
takeinfo.ru\r\n,2.5219189095526567E-5,37672
dgyqimolcqm.cm\r\n,2.5219189095526567E-5,37673
dgyqimolcqm.cm\r\n,2.5219189095526567E-5,37674
dgyqimolcqm.cm\r\n,2.5219189095526567E-5,37675
dgyqimolcqm.cm\r\n,2.5219189095526567E-5,37676
nginx/0.7.67\r\n,2.522248369831221E-5,37678
www.dnswatch.info,2.5716799149570736E-5,38348
firewall.happytohell.com,4.5994274423325485E-4,407093
omegaartworld.com,0.0014017115211262822,924948
www.redlinesys.net,0.0017081996504240689,1058972
mugspade.ru,1.654709640367534E-4,186253
mugspade.ru,1.6873811963935407E-4,189115
www.redlinesys.net,0.0022538796659715326,1265053
64.235.43.131,1.0094207624117365E-4,124716
64.235.43.131,1.0094207624117365E-4,124717
nginx/0.7.67\r\n,1.0094207624117365E-4,124718
nginx/0.7.67\r\n,1.0094207624117365E-4,124719
mugspade.ru,1.0590870099917512E-4,129837
firewall.happytohell.com,0.0013777216832735171,914194
firewall.happytohell.com,0.003366484263970896,1633636
firewall.happytohell.com,0.001125494537437355,794355
www.redlinesys.net,0.002644894917705906,1402475
firewall.happytohell.com,0.0026593358391854807,1407037
firewall.happytohell.com,3.70788170497959E-4,346920
trapbath.ru,2.9963040941775084E-5,44135
trapbath.ru,2.9963040947713262E-5,44136
www.dnswatch.info,3.246095053905771E-5,47283
trapbath.ru,3.715631277552279E-5,53623
trapbath.ru,3.715631277552279E-5,53624
64.235.43.131,3.715631277552279E-5,53625
64.235.43.131,3.715631277552279E-5,53626
sgb-sy.com,3.715631277552279E-5,53627
