Nov 26, 2016 10:15:43 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 26, 2016 10:15:43 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 26, 2016 10:15:43 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 26, 2016 10:15:43 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 19 ms. row count = 105
www.dnswatch.info,1.675496152608066E-5,47671
nginx,1.7860571636508004E-5,50705
nginx,1.7860571636508004E-5,50706
nginx,1.7860571636508004E-5,50707
nginx,1.7860571636508004E-5,50708
nginx,1.7860571636508004E-5,50709
nginx,1.7860571636508004E-5,50710
www.dnswatch.info,2.0090835791603894E-5,56303
www.dnswatch.info,2.079522596110383E-5,58025
mugspade.ru,2.849326086450707E-5,75959
146.185.213.35,3.222986875182864E-5,84112
146.185.213.35,6.313041827487417E-5,144242
firewall.happytohell.com,1.4478078496982182E-4,275126
firewall.happytohell.com,4.8511468172360994E-4,668090
firewall.happytohell.com,5.002672765555262E-4,682415
firewall.happytohell.com,6.257205701521036E-4,802152
mugspade.ru,4.4338062721884233E-5,108669
firewall.happytohell.com,0.0010855564077057289,1187429
www.redlinesys.net,9.3895312971595E-5,196967
mugspade.ru,1.0476979192046075E-4,214335
omegaartworld.com,1.0846017974562609E-4,220452
omegaartworld.com,1.0915816092252695E-4,221519
www.redlinesys.net,1.2214883822206582E-4,242113
omegaartworld.com,5.0809502180856E-4,689594
trapbath.ru,1.0144235679389295E-6,734
trapbath.ru,1.0144235901769778E-6,735
61.178.77.169,1.7524739015741166E-6,2967
trapbath.ru,1.8221964852722702E-6,3196
vcvcvcvc.dyndns.org ,2.800287278578477E-6,6789
vcvcvcvc.dyndns.org ,2.8003417497998763E-6,6790
trapbath.ru,3.014096216367431E-6,7578
trapbath.ru,3.6465372999735856E-6,9875
vcvcvcvc.dyndns.org ,3.7167423853349522E-6,10101
vcvcvcvc.dyndns.org ,3.7167423853349522E-6,10102
vcvcvcvc.dyndns.org ,3.7167423853349522E-6,10103
nginx/0.7.67\r\n,3.728265657483219E-6,10161
nginx/0.7.67\r\n,3.7331763794268937E-6,10190
61.178.77.170,3.733433833888673E-6,10191
rwyngtbvunfpk.org\r\n,3.7368543378360677E-6,10203
rwyngtbvunfpk.org\r\n,3.7368543378360677E-6,10204
rwyngtbvunfpk.org\r\n,3.7368543378360677E-6,10205
takeinfo.ru\r\n,3.7368543378360677E-6,10206
dgyqimolcqm.cm\r\n,3.7368543378360677E-6,10207
dgyqimolcqm.cm\r\n,3.7368543378360677E-6,10208
dgyqimolcqm.cm\r\n,3.7368543378360677E-6,10209
dgyqimolcqm.cm\r\n,3.7368543378360677E-6,10210
61.178.77.169,4.170537865204311E-6,11645
146.185.213.35,4.793964069401771E-6,13783
vcvcvcvc.dyndns.org ,5.602417031462923E-6,16555
vcvcvcvc.dyndns.org ,5.602417033159254E-6,16556
vcvcvcvc.dyndns.org ,5.6024315750068066E-6,16557
vcvcvcvc.dyndns.org ,5.602431576688187E-6,16558
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.953487315512858E-6,17650
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.953487315512858E-6,17651
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.953487315512858E-6,17652
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.953487315512858E-6,17653
trapbath.ru,5.953487315512858E-6,17654
trapbath.ru,5.953487315512858E-6,17655
trapbath.ru,5.953487315512858E-6,17656
sgb-sy.com,5.953487315512858E-6,17657
sgb-sy.com,5.953487315512858E-6,17658
sgb-sy.com,5.953487315512858E-6,17659
sgb-sy.com,5.953487315512858E-6,17660
telecrop.com,5.953487315512858E-6,17661
telecrop.com,5.953487315512858E-6,17662
telecrop.com,5.953487315512858E-6,17663
telecrop.com,5.953487315512858E-6,17664
nginx,5.953487315512858E-6,17665
nginx,5.953487315512858E-6,17666
www.download.windowsupdate.com,5.953487315512858E-6,17667
www.download.windowsupdate.com,5.953487315512858E-6,17668
www.download.windowsupdate.com,5.953487315512858E-6,17669
www.download.windowsupdate.com,5.953487315512858E-6,17670
www.download.windowsupdate.com,5.953487315512858E-6,17671
64.235.43.131,5.95702907568945E-6,17685
64.235.43.131,5.962383860470639E-6,17701
trapbath.ru,6.027570898600173E-6,17921
rwyngtbvunfpk.org\r\n,7.473807541817219E-6,22397
rwyngtbvunfpk.org\r\n,7.473807541817219E-6,22398
64.235.43.131,7.473807541817219E-6,22399
64.235.43.131,7.473807541817219E-6,22400
64.235.43.131,7.473807541817219E-6,22401
takeinfo.ru\r\n,7.473807541817219E-6,22402
takeinfo.ru\r\n,7.473807541817219E-6,22403
takeinfo.ru\r\n,7.473807541817219E-6,22404
takeinfo.ru\r\n,7.473807541817219E-6,22405
nginx/0.7.67\r\n,7.473807541817219E-6,22406
trapbath.ru,1.190702946687191E-5,34998
trapbath.ru,1.190702946687191E-5,34999
64.235.43.131,1.190702946687191E-5,35000
64.235.43.131,1.190702946687191E-5,35001
sgb-sy.com,1.190702946687191E-5,35002
sgb-sy.com,1.190702946687191E-5,35003
telecrop.com,1.190702946687191E-5,35004
telecrop.com,1.190702946687191E-5,35005
nginx,1.190702946687191E-5,35006
nginx,1.190702946687191E-5,35007
64.235.43.131,1.192659816720271E-5,35046
64.235.43.131,1.192659816720271E-5,35047
64.235.43.131,1.4947728125190523E-5,42912
64.235.43.131,1.4947728125190523E-5,42913
nginx/0.7.67\r\n,1.4947728125190523E-5,42914
nginx/0.7.67\r\n,1.4947728125190523E-5,42915
firewall.happytohell.com,2.532132792031464E-4,419427
www.redlinesys.net,2.960071606821803E-4,468814
