Nov 26, 2016 8:51:33 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 26, 2016 8:51:33 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 26, 2016 8:51:33 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 26, 2016 8:51:33 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 16 ms. row count = 105
omegaartworld.com,5.874724344239465E-5,213432
omegaartworld.com,5.8937455372512886E-5,213955
firewall.happytohell.com,1.485578901308285E-4,432954
146.185.213.35,7.2153281373423E-5,250515
firewall.happytohell.com,7.426857791212941E-5,256804
www.redlinesys.net,7.459246855458262E-5,257615
www.redlinesys.net,7.49916255000687E-5,258799
firewall.happytohell.com,8.161942078610852E-5,276607
www.redlinesys.net,8.176677278632083E-5,277001
omegaartworld.com,8.519974880439068E-5,286879
146.185.213.35,9.035968189954121E-5,299935
mugspade.ru,1.76996665231657E-5,79330
mugspade.ru,1.8762490850923374E-5,83672
mugspade.ru,2.6096182712001316E-5,110017
firewall.happytohell.com,2.66993156723242E-4,658582
firewall.happytohell.com,2.833991281001191E-4,687402
firewall.happytohell.com,3.579986663991671E-4,814180
trapbath.ru,3.968078318025489E-7,326
trapbath.ru,4.5983838830345654E-7,518
trapbath.ru,4.845908915097226E-7,612
trapbath.ru,4.84590894063033E-7,613
trapbath.ru,5.707138583834884E-7,1037
trapbath.ru,6.00286747919399E-7,1216
61.178.77.170,6.25254659453886E-7,1448
www.dnswatch.info,9.096753678377167E-7,3155
nginx/0.7.67\r\n,9.230691951286475E-7,3265
nginx/0.7.67\r\n,9.24827252289538E-7,3286
rwyngtbvunfpk.org\r\n,9.263787194704556E-7,3302
rwyngtbvunfpk.org\r\n,9.263787194704556E-7,3303
rwyngtbvunfpk.org\r\n,9.263787194704556E-7,3304
takeinfo.ru\r\n,9.263787194704556E-7,3305
dgyqimolcqm.cm\r\n,9.263787194704556E-7,3306
dgyqimolcqm.cm\r\n,9.263787194704556E-7,3307
dgyqimolcqm.cm\r\n,9.263787194704556E-7,3308
dgyqimolcqm.cm\r\n,9.263787194704556E-7,3309
61.178.77.169,9.264086062904273E-7,3311
61.178.77.169,9.440118058404744E-7,3433
vcvcvcvc.dyndns.org ,9.835299861523733E-7,3698
vcvcvcvc.dyndns.org ,9.835300743578122E-7,3699
vcvcvcvc.dyndns.org ,9.83530553812725E-7,3700
vcvcvcvc.dyndns.org ,1.000739579329059E-6,3810
vcvcvcvc.dyndns.org ,1.0025048716474279E-6,3828
vcvcvcvc.dyndns.org ,1.0025048716510398E-6,3829
vcvcvcvc.dyndns.org ,1.3123830969105236E-6,5913
vcvcvcvc.dyndns.org ,1.3573895625575075E-6,6187
vcvcvcvc.dyndns.org ,1.3573895625591978E-6,6188
146.185.213.35,1.383816339132352E-6,6356
rwyngtbvunfpk.org\r\n,1.8527680226923953E-6,9174
rwyngtbvunfpk.org\r\n,1.8527680226923953E-6,9175
64.235.43.131,1.8527680226923953E-6,9176
64.235.43.131,1.8527680226923953E-6,9177
64.235.43.131,1.8527680226923953E-6,9178
takeinfo.ru\r\n,1.8527680226923953E-6,9179
takeinfo.ru\r\n,1.8527680226923953E-6,9180
takeinfo.ru\r\n,1.8527680226923953E-6,9181
takeinfo.ru\r\n,1.8527680226923953E-6,9182
nginx/0.7.67\r\n,1.8527680226923953E-6,9183
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.1053703344477564E-6,10721
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.1053703344477564E-6,10722
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.1053703344477564E-6,10723
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.1053703344477564E-6,10724
trapbath.ru,2.1053703344477564E-6,10725
trapbath.ru,2.1053703344477564E-6,10726
trapbath.ru,2.1053703344477564E-6,10727
sgb-sy.com,2.1053703344477564E-6,10728
sgb-sy.com,2.1053703344477564E-6,10729
sgb-sy.com,2.1053703344477564E-6,10730
sgb-sy.com,2.1053703344477564E-6,10731
telecrop.com,2.1053703344477564E-6,10732
telecrop.com,2.1053703344477564E-6,10733
telecrop.com,2.1053703344477564E-6,10734
telecrop.com,2.1053703344477564E-6,10735
nginx,2.1053703344477564E-6,10736
nginx,2.1053703344477564E-6,10737
www.download.windowsupdate.com,2.1053703344477564E-6,10738
www.download.windowsupdate.com,2.1053703344477564E-6,10739
www.download.windowsupdate.com,2.1053703344477564E-6,10740
www.download.windowsupdate.com,2.1053703344477564E-6,10741
www.download.windowsupdate.com,2.1053703344477564E-6,10742
64.235.43.131,2.1100790883616592E-6,10779
64.235.43.131,2.1113950335692175E-6,10788
64.235.43.131,3.7046125085123073E-6,19293
64.235.43.131,3.7046125085123073E-6,19294
nginx/0.7.67\r\n,3.7046125085123073E-6,19295
nginx/0.7.67\r\n,3.7046125085123073E-6,19296
www.dnswatch.info,4.05811287790684E-6,21030
trapbath.ru,4.210745556568167E-6,21829
trapbath.ru,4.210745556568167E-6,21830
64.235.43.131,4.210745556568167E-6,21831
64.235.43.131,4.210745556568167E-6,21832
sgb-sy.com,4.210745556568167E-6,21833
sgb-sy.com,4.210745556568167E-6,21834
telecrop.com,4.210745556568167E-6,21835
telecrop.com,4.210745556568167E-6,21836
nginx,4.210745556568167E-6,21837
nginx,4.210745556568167E-6,21838
64.235.43.131,4.223228518638986E-6,21913
64.235.43.131,4.223228518638986E-6,21914
www.dnswatch.info,4.7430485288328985E-6,24583
nginx,6.316120780317706E-6,32274
nginx,6.316120780317706E-6,32275
nginx,6.316120780317706E-6,32276
nginx,6.316120780317706E-6,32277
nginx,6.316120780317706E-6,32278
nginx,6.316120780317706E-6,32279
