Nov 26, 2016 10:47:09 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 26, 2016 10:47:09 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 26, 2016 10:47:09 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 26, 2016 10:47:09 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 24 ms. row count = 105
61.178.77.169,1.8895754012002163E-5,43106
64.235.43.131,1.9977168835582425E-5,45324
64.235.43.131,1.9977168835582425E-5,45325
nginx/0.7.67\r\n,1.9977168835582425E-5,45326
nginx/0.7.67\r\n,1.9977168835582425E-5,45327
mugspade.ru,3.3927134042545607E-5,71839
146.185.213.35,3.997644505728839E-5,82528
firewall.happytohell.com,2.192752472567622E-4,312397
firewall.happytohell.com,2.2756640931169742E-4,321439
omegaartworld.com,2.3329188771929025E-4,327326
firewall.happytohell.com,2.94089227461361E-4,389291
www.redlinesys.net,2.985380163290966E-4,393786
trapbath.ru,2.918454365769267E-6,4138
146.185.213.35,3.5088096043519666E-6,5918
trapbath.ru,3.6458088877714908E-6,6334
trapbath.ru,3.645975965511421E-6,6335
trapbath.ru,3.796765503330114E-6,6800
www.dnswatch.info,4.2699070855627684E-6,8101
vcvcvcvc.dyndns.org ,4.294967717002793E-6,8167
vcvcvcvc.dyndns.org ,4.29498620055759E-6,8168
vcvcvcvc.dyndns.org ,4.294987332749153E-6,8169
64.235.43.131,4.3586640726389606E-6,8338
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,4.3645734958911335E-6,8351
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,4.3645734958911335E-6,8352
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,4.3645734958911335E-6,8353
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,4.3645734958911335E-6,8354
trapbath.ru,4.3645734958911335E-6,8355
trapbath.ru,4.3645734958911335E-6,8356
trapbath.ru,4.3645734958911335E-6,8357
sgb-sy.com,4.3645734958911335E-6,8358
sgb-sy.com,4.3645734958911335E-6,8359
sgb-sy.com,4.3645734958911335E-6,8360
sgb-sy.com,4.3645734958911335E-6,8361
telecrop.com,4.3645734958911335E-6,8362
telecrop.com,4.3645734958911335E-6,8363
telecrop.com,4.3645734958911335E-6,8364
telecrop.com,4.3645734958911335E-6,8365
nginx,4.3645734958911335E-6,8366
nginx,4.3645734958911335E-6,8367
www.download.windowsupdate.com,4.3645734958911335E-6,8368
www.download.windowsupdate.com,4.3645734958911335E-6,8369
www.download.windowsupdate.com,4.3645734958911335E-6,8370
www.download.windowsupdate.com,4.3645734958911335E-6,8371
www.download.windowsupdate.com,4.3645734958911335E-6,8372
64.235.43.131,4.3658600321807855E-6,8381
vcvcvcvc.dyndns.org ,4.7206413232209615E-6,9408
vcvcvcvc.dyndns.org ,4.721531714815994E-6,9413
nginx/0.7.67\r\n,4.987783001182249E-6,10179
nginx/0.7.67\r\n,4.991377617602772E-6,10185
rwyngtbvunfpk.org\r\n,4.991687691041995E-6,10188
rwyngtbvunfpk.org\r\n,4.991687691041995E-6,10189
rwyngtbvunfpk.org\r\n,4.991687691041995E-6,10190
takeinfo.ru\r\n,4.991687691041995E-6,10191
dgyqimolcqm.cm\r\n,4.991687691041995E-6,10192
dgyqimolcqm.cm\r\n,4.991687691041995E-6,10193
dgyqimolcqm.cm\r\n,4.991687691041995E-6,10194
dgyqimolcqm.cm\r\n,4.991687691041995E-6,10195
trapbath.ru,5.846876400923955E-6,12416
61.178.77.169,7.5010954247859885E-6,16861
trapbath.ru,7.595356809555019E-6,17051
61.178.77.170,8.582603236361774E-6,19741
trapbath.ru,8.729316922956949E-6,20114
trapbath.ru,8.729316922956949E-6,20115
64.235.43.131,8.729316922956949E-6,20116
64.235.43.131,8.729316922956949E-6,20117
sgb-sy.com,8.729316922956949E-6,20118
sgb-sy.com,8.729316922956949E-6,20119
telecrop.com,8.729316922956949E-6,20120
telecrop.com,8.729316922956949E-6,20121
nginx,8.729316922956949E-6,20122
nginx,8.729316922956949E-6,20123
64.235.43.131,8.734284591289023E-6,20130
64.235.43.131,8.734284591289023E-6,20131
vcvcvcvc.dyndns.org ,9.444600774234171E-6,21957
vcvcvcvc.dyndns.org ,9.444600774234353E-6,21958
vcvcvcvc.dyndns.org ,9.446023262268424E-6,21963
vcvcvcvc.dyndns.org ,9.446023262268594E-6,21964
rwyngtbvunfpk.org\r\n,9.983669343073562E-6,23293
rwyngtbvunfpk.org\r\n,9.983669343073562E-6,23294
64.235.43.131,9.983669343073562E-6,23295
64.235.43.131,9.983669343073562E-6,23296
64.235.43.131,9.983669343073562E-6,23297
takeinfo.ru\r\n,9.983669343073562E-6,23298
takeinfo.ru\r\n,9.983669343073562E-6,23299
takeinfo.ru\r\n,9.983669343073562E-6,23300
takeinfo.ru\r\n,9.983669343073562E-6,23301
nginx/0.7.67\r\n,9.983669343073562E-6,23302
www.dnswatch.info,1.1117787685199933E-5,26061
nginx,1.3094060406693882E-5,30504
nginx,1.3094060406693882E-5,30505
nginx,1.3094060406693882E-5,30506
nginx,1.3094060406693882E-5,30507
nginx,1.3094060406693882E-5,30508
nginx,1.3094060406693882E-5,30509
www.dnswatch.info,1.7501412628129348E-5,40256
www.redlinesys.net,1.620251298247891E-4,250583
146.185.213.35,1.6925504374851232E-4,258499
mugspade.ru,4.3091791694376775E-5,87631
mugspade.ru,5.670564130222967E-5,110127
firewall.happytohell.com,2.8084580066040695E-4,375813
omegaartworld.com,1.779094353854306E-4,268212
www.redlinesys.net,3.8814293246119757E-4,478152
firewall.happytohell.com,8.369569088674488E-4,839997
firewall.happytohell.com,9.255821481863442E-4,902452
omegaartworld.com,3.5581829159480596E-4,448943
