Nov 26, 2016 10:56:46 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 26, 2016 10:56:46 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 26, 2016 10:56:46 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 26, 2016 10:56:46 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 18 ms. row count = 105
www.redlinesys.net,0.001478207866328193,972053
firewall.happytohell.com,0.004788264863414568,2055597
firewall.happytohell.com,0.004946531808996681,2088280
rwyngtbvunfpk.org\r\n,6.73901131792763E-5,90201
rwyngtbvunfpk.org\r\n,6.73901131792763E-5,90202
64.235.43.131,6.73901131792763E-5,90203
64.235.43.131,6.73901131792763E-5,90204
64.235.43.131,6.73901131792763E-5,90205
takeinfo.ru\r\n,6.73901131792763E-5,90206
takeinfo.ru\r\n,6.73901131792763E-5,90207
takeinfo.ru\r\n,6.73901131792763E-5,90208
takeinfo.ru\r\n,6.73901131792763E-5,90209
nginx/0.7.67\r\n,6.73901131792763E-5,90210
146.185.213.35,9.156528092026594E-5,115929
64.235.43.131,1.3534504062328762E-4,159505
64.235.43.131,1.3534504062328762E-4,159506
nginx/0.7.67\r\n,1.3534504062328762E-4,159507
nginx/0.7.67\r\n,1.3534504062328762E-4,159508
mugspade.ru,1.3801711985311893E-4,162087
omegaartworld.com,9.538989164856676E-4,708173
www.redlinesys.net,0.001061489792369952,766152
omegaartworld.com,0.001067273834459053,768891
firewall.happytohell.com,0.0010823348416104303,777874
firewall.happytohell.com,0.0019103936484268999,1160160
firewall.happytohell.com,0.001442170208860552,955650
firewall.happytohell.com,0.003894298704780366,1823739
146.185.213.35,9.645793877626727E-5,121189
www.redlinesys.net,9.130827894366088E-4,686181
trapbath.ru,3.061712480404421E-5,45475
trapbath.ru,3.0617124804046236E-5,45476
www.dnswatch.info,3.1592263624471555E-5,46780
mugspade.ru,3.36874230901628E-5,49572
rwyngtbvunfpk.org\r\n,3.369433354524662E-5,49581
rwyngtbvunfpk.org\r\n,3.369433354524662E-5,49582
rwyngtbvunfpk.org\r\n,3.369433354524662E-5,49583
takeinfo.ru\r\n,3.369433354524662E-5,49584
dgyqimolcqm.cm\r\n,3.369433354524662E-5,49585
dgyqimolcqm.cm\r\n,3.369433354524662E-5,49586
dgyqimolcqm.cm\r\n,3.369433354524662E-5,49587
