Nov 26, 2016 9:58:35 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 26, 2016 9:58:35 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 26, 2016 9:58:35 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 26, 2016 9:58:35 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 17 ms. row count = 105
mugspade.ru,1.7995721911824922E-5,48502
mugspade.ru,2.5126677027392976E-5,64908
146.185.213.35,2.7761667398177302E-5,70884
64.235.43.131,2.8242209335160695E-5,71897
64.235.43.131,2.8242209335160695E-5,71898
nginx/0.7.67\r\n,2.8242209335160695E-5,71899
nginx/0.7.67\r\n,2.8242209335160695E-5,71900
146.185.213.35,2.8785154927546032E-5,73128
firewall.happytohell.com,4.464106028130802E-4,607831
firewall.happytohell.com,0.0011090926883517817,1163276
www.dnswatch.info,7.964041605749532E-5,169374
www.redlinesys.net,9.363247260306417E-5,192361
omegaartworld.com,1.0084076198306428E-4,203179
www.redlinesys.net,1.1753989444794322E-4,228914
firewall.happytohell.com,1.2846161213955762E-4,243966
firewall.happytohell.com,2.549576321406279E-4,401653
firewall.happytohell.com,2.6311968025268656E-4,410780
mugspade.ru,5.4904423477014856E-5,124774
firewall.happytohell.com,4.1726458376807336E-4,579820
www.redlinesys.net,2.34344750869975E-4,375301
www.dnswatch.info,5.127976923778015E-5,117961
omegaartworld.com,1.719907616758882E-4,301055
omegaartworld.com,1.9112177727797968E-4,324553
trapbath.ru,1.2264304207017167E-6,1171
trapbath.ru,1.4298955835581496E-6,1711
trapbath.ru,1.4298964136877182E-6,1712
146.185.213.35,2.7469388105259946E-6,6089
vcvcvcvc.dyndns.org ,2.8072536307439752E-6,6301
vcvcvcvc.dyndns.org ,2.8072536794562534E-6,6302
vcvcvcvc.dyndns.org ,2.807253814202135E-6,6303
www.dnswatch.info,2.8534058602373206E-6,6452
trapbath.ru,3.486524664508914E-6,8694
61.178.77.170,3.5963911404613962E-6,9089
64.235.43.131,3.6446551425070243E-6,9238
64.235.43.131,3.6545985696763604E-6,9269
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,3.6561732318851336E-6,9275
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,3.6561732318851336E-6,9276
