"host","score","rank","label","y","TP","FP"
"1","1",0,"null",0,0,0
"trapbath.ru","5.87730788733439e-06",6404,"bad",1,0.00952380952380952,0.000705945748383554
"trapbath.ru","6.19751817360886e-06",7037,"bad",2,0.019047619047619,0.000775647000215831
"trapbath.ru","6.6868851023121e-06",7929,"bad",3,0.0285714285714286,0.000873912530884437
"trapbath.ru","6.74500153463129e-06",8066,"bad",4,0.0380952380952381,0.000888911534443282
"vcvcvcvc.dyndns.org ","7.59380898872742e-06",9619,"bad",5,0.0476190476190476,0.00106007663387951
"vcvcvcvc.dyndns.org ","7.61211741062634e-06",9656,"bad",6,0.0571428571428571,0.00106404695835097
"www.dnswatch.info","7.98684354765225e-06",10334,"bad",7,0.0666666666666667,0.00113871111577257
"vcvcvcvc.dyndns.org ","7.99761648824132e-06",10343,"bad",8,0.0761904761904762,0.00113959341009956
"vcvcvcvc.dyndns.org ","7.99776308114363e-06",10344,"bad",9,0.0857142857142857,0.00113959341009956
"vcvcvcvc.dyndns.org ","7.99785562078155e-06",10346,"bad",10,0.0952380952380952,0.00113970369689043
"64.235.43.131","8.20243805272324e-06",10732,"bad",11,0.104761904761905,0.00118216411137687
"64.235.43.131","8.23549232064167e-06",10820,"bad",12,0.114285714285714,0.00119175906218289
"http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1","8.24408384799574e-06",10836,"bad",13,0.123809523809524,0.001193413364046
"http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1","8.24408384799574e-06",10837,"bad",14,0.133333333333333,0.001193413364046
"http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1","8.24408384799574e-06",10838,"bad",15,0.142857142857143,0.001193413364046
"http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1","8.24408384799574e-06",10839,"bad",16,0.152380952380952,0.001193413364046
"trapbath.ru","8.24408384799574e-06",10840,"bad",17,0.161904761904762,0.001193413364046
"trapbath.ru","8.24408384799574e-06",10841,"bad",18,0.171428571428571,0.001193413364046
"trapbath.ru","8.24408384799574e-06",10842,"bad",19,0.180952380952381,0.001193413364046
"sgb-sy.com","8.24408384799574e-06",10843,"bad",20,0.19047619047619,0.001193413364046
"sgb-sy.com","8.24408384799574e-06",10844,"bad",21,0.2,0.001193413364046
"sgb-sy.com","8.24408384799574e-06",10845,"bad",22,0.20952380952381,0.001193413364046
"sgb-sy.com","8.24408384799574e-06",10846,"bad",23,0.219047619047619,0.001193413364046
"telecrop.com","8.24408384799574e-06",10847,"bad",24,0.228571428571429,0.001193413364046
"telecrop.com","8.24408384799574e-06",10848,"bad",25,0.238095238095238,0.001193413364046
"telecrop.com","8.24408384799574e-06",10849,"bad",26,0.247619047619048,0.001193413364046
"telecrop.com","8.24408384799574e-06",10850,"bad",27,0.257142857142857,0.001193413364046
"nginx","8.24408384799574e-06",10851,"bad",28,0.266666666666667,0.001193413364046
"nginx","8.24408384799574e-06",10852,"bad",29,0.276190476190476,0.001193413364046
"www.download.windowsupdate.com","8.24408384799574e-06",10853,"bad",30,0.285714285714286,0.001193413364046
"www.download.windowsupdate.com","8.24408384799574e-06",10854,"bad",31,0.295238095238095,0.001193413364046
"www.download.windowsupdate.com","8.24408384799574e-06",10855,"bad",32,0.304761904761905,0.001193413364046
"www.download.windowsupdate.com","8.24408384799574e-06",10856,"bad",33,0.314285714285714,0.001193413364046
"www.download.windowsupdate.com","8.24408384799574e-06",10857,"bad",34,0.323809523809524,0.001193413364046
"trapbath.ru","1.18207621016793e-05",17251,"bad",35,0.333333333333333,0.00189847681810256
"trapbath.ru","1.50449372219035e-05",22535,"bad",36,0.342857142857143,0.00248112193428914
"vcvcvcvc.dyndns.org ","1.51963019209923e-05",22752,"bad",37,0.352380952380952,0.0025049438811179
"vcvcvcvc.dyndns.org ","1.51963019209923e-05",22753,"bad",38,0.361904761904762,0.0025049438811179
"vcvcvcvc.dyndns.org ","1.52327857428518e-05",22807,"bad",39,0.371428571428571,0.00251078908103421
"vcvcvcvc.dyndns.org ","1.52327857428518e-05",22808,"bad",40,0.380952380952381,0.00251078908103421
"64.235.43.131","1.64828046116044e-05",24955,"bad",41,0.39047619047619,0.00274746453424951
"64.235.43.131","1.64828046116044e-05",24956,"bad",42,0.4,0.00274746453424951
"trapbath.ru","1.64889738363365e-05",24967,"bad",43,0.40952380952381,0.00274856740215825
"trapbath.ru","1.64889738363365e-05",24968,"bad",44,0.419047619047619,0.00274856740215825
"64.235.43.131","1.64889738363365e-05",24969,"bad",45,0.428571428571429,0.00274856740215825
"64.235.43.131","1.64889738363365e-05",24970,"bad",46,0.438095238095238,0.00274856740215825
"sgb-sy.com","1.64889738363365e-05",24971,"bad",47,0.447619047619048,0.00274856740215825
"sgb-sy.com","1.64889738363365e-05",24972,"bad",48,0.457142857142857,0.00274856740215825
"telecrop.com","1.64889738363365e-05",24973,"bad",49,0.466666666666667,0.00274856740215825
"telecrop.com","1.64889738363365e-05",24974,"bad",50,0.476190476190476,0.00274856740215825
"nginx","1.64889738363365e-05",24975,"bad",51,0.485714285714286,0.00274856740215825
"nginx","1.64889738363365e-05",24976,"bad",52,0.495238095238095,0.00274856740215825
"nginx","2.47338640937459e-05",37280,"bad",53,0.504761904761905,0.0041054257902793
"nginx","2.47338640937459e-05",37281,"bad",54,0.514285714285714,0.0041054257902793
"nginx","2.47338640937459e-05",37282,"bad",55,0.523809523809524,0.0041054257902793
