Nov 26, 2016 10:37:27 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 26, 2016 10:37:27 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 26, 2016 10:37:27 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 26, 2016 10:37:27 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 17 ms. row count = 105
64.235.43.131,6.808130802779363E-5,129632
64.235.43.131,6.808130802779363E-5,129633
nginx/0.7.67\r\n,6.808130802779363E-5,129634
nginx/0.7.67\r\n,6.808130802779363E-5,129635
www.redlinesys.net,3.7394754902365734E-4,482776
firewall.happytohell.com,5.024176981680216E-4,599051
omegaartworld.com,5.387561766745406E-4,629143
www.redlinesys.net,7.312715747752774E-4,784543
trapbath.ru,2.351721827818907E-6,2739
trapbath.ru,2.3525742812831092E-6,2742
vcvcvcvc.dyndns.org ,4.215571654752796E-6,7933
vcvcvcvc.dyndns.org ,4.22066574158426E-6,7941
vcvcvcvc.dyndns.org ,4.234265700700119E-6,7971
www.dnswatch.info,4.479746684669566E-6,8690
64.235.43.131,5.4906757751533525E-6,11700
64.235.43.131,5.51499196613233E-6,11790
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.5215247081176536E-6,11797
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.5215247081176536E-6,11798
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.5215247081176536E-6,11799
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.5215247081176536E-6,11800
trapbath.ru,5.5215247081176536E-6,11801
trapbath.ru,5.5215247081176536E-6,11802
trapbath.ru,5.5215247081176536E-6,11803
sgb-sy.com,5.5215247081176536E-6,11804
sgb-sy.com,5.5215247081176536E-6,11805
sgb-sy.com,5.5215247081176536E-6,11806
sgb-sy.com,5.5215247081176536E-6,11807
telecrop.com,5.5215247081176536E-6,11808
telecrop.com,5.5215247081176536E-6,11809
telecrop.com,5.5215247081176536E-6,11810
telecrop.com,5.5215247081176536E-6,11811
nginx,5.5215247081176536E-6,11812
nginx,5.5215247081176536E-6,11813
www.download.windowsupdate.com,5.5215247081176536E-6,11814
www.download.windowsupdate.com,5.5215247081176536E-6,11815
www.download.windowsupdate.com,5.5215247081176536E-6,11816
www.download.windowsupdate.com,5.5215247081176536E-6,11817
www.download.windowsupdate.com,5.5215247081176536E-6,11818
61.178.77.169,5.5929932068927666E-6,11983
146.185.213.35,6.546304209605343E-6,14481
61.178.77.169,6.935059959648494E-6,15531
trapbath.ru,7.608705564506015E-6,17228
vcvcvcvc.dyndns.org ,7.635458543123337E-6,17280
trapbath.ru,7.733479957586269E-6,17524
vcvcvcvc.dyndns.org ,7.75933891249836E-6,17585
64.235.43.131,1.1038252994888236E-5,25746
64.235.43.131,1.1038252994888236E-5,25747
trapbath.ru,1.1043220852402746E-5,25764
trapbath.ru,1.1043220852402746E-5,25765
64.235.43.131,1.1043220852402746E-5,25766
64.235.43.131,1.1043220852402746E-5,25767
sgb-sy.com,1.1043220852402746E-5,25768
sgb-sy.com,1.1043220852402746E-5,25769
telecrop.com,1.1043220852402746E-5,25770
telecrop.com,1.1043220852402746E-5,25771
nginx,1.1043220852402746E-5,25772
nginx,1.1043220852402746E-5,25773
vcvcvcvc.dyndns.org ,1.527452301233996E-5,35248
vcvcvcvc.dyndns.org ,1.5274523012344757E-5,35249
www.dnswatch.info,1.5364994115101918E-5,35466
trapbath.ru,1.5511067759278394E-5,35802
vcvcvcvc.dyndns.org ,1.5521938730996578E-5,35824
vcvcvcvc.dyndns.org ,1.5521938731001504E-5,35825
trapbath.ru,1.5566962155847054E-5,35910
nginx,1.656491705386789E-5,37979
nginx,1.656491705386789E-5,37980
nginx,1.656491705386789E-5,37981
nginx,1.656491705386789E-5,37982
nginx,1.656491705386789E-5,37983
nginx,1.656491705386789E-5,37984
61.178.77.170,1.6964590221273886E-5,38783
rwyngtbvunfpk.org\r\n,1.697654228832724E-5,38809
rwyngtbvunfpk.org\r\n,1.697654228832724E-5,38810
rwyngtbvunfpk.org\r\n,1.697654228832724E-5,38811
takeinfo.ru\r\n,1.697654228832724E-5,38812
dgyqimolcqm.cm\r\n,1.697654228832724E-5,38813
dgyqimolcqm.cm\r\n,1.697654228832724E-5,38814
dgyqimolcqm.cm\r\n,1.697654228832724E-5,38815
dgyqimolcqm.cm\r\n,1.697654228832724E-5,38816
nginx/0.7.67\r\n,1.701216644347394E-5,38926
nginx/0.7.67\r\n,1.7016721458818357E-5,38933
www.dnswatch.info,2.530699876128192E-5,56033
rwyngtbvunfpk.org\r\n,3.395336263266354E-5,72321
rwyngtbvunfpk.org\r\n,3.395336263266354E-5,72322
64.235.43.131,3.395336263266354E-5,72323
64.235.43.131,3.395336263266354E-5,72324
64.235.43.131,3.395336263266354E-5,72325
takeinfo.ru\r\n,3.395336263266354E-5,72326
takeinfo.ru\r\n,3.395336263266354E-5,72327
takeinfo.ru\r\n,3.395336263266354E-5,72328
takeinfo.ru\r\n,3.395336263266354E-5,72329
nginx/0.7.67\r\n,3.395336263266354E-5,72330
146.185.213.35,3.6800247064656494E-5,77646
mugspade.ru,9.81962744186547E-5,173804
omegaartworld.com,6.274128850823885E-4,701332
firewall.happytohell.com,3.167549525660964E-4,425413
firewall.happytohell.com,0.001482394296973416,1284112
www.redlinesys.net,4.906488713780886E-4,589336
firewall.happytohell.com,5.922219491622487E-4,673681
mugspade.ru,4.524904575844118E-5,92158
146.185.213.35,4.5522577057622697E-5,92564
mugspade.ru,5.7015750294106726E-5,111593
firewall.happytohell.com,3.0047033826054837E-4,409736
omegaartworld.com,2.379605951484463E-4,342735
firewall.happytohell.com,0.0019277692533858813,1519819
