Nov 26, 2016 10:25:01 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 26, 2016 10:25:01 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 26, 2016 10:25:01 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 26, 2016 10:25:01 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 24 ms. row count = 105
www.redlinesys.net,3.097600270456823E-4,392317
omegaartworld.com,5.667380883500268E-4,611246
firewall.happytohell.com,0.0010972546215824725,977967
firewall.happytohell.com,0.0012712820431350772,1086932
firewall.happytohell.com,1.2947636100751916E-4,204742
omegaartworld.com,1.725958591197241E-4,254835
firewall.happytohell.com,3.1616291675749954E-4,398481
www.redlinesys.net,3.3693539462403154E-4,418078
firewall.happytohell.com,8.980639554856707E-4,848871
146.185.213.35,4.584929300422481E-5,89063
omegaartworld.com,6.646505341966172E-4,685696
mugspade.ru,2.6695872144234657E-5,55937
www.dnswatch.info,3.146806103376796E-5,64649
mugspade.ru,3.172808333496306E-5,65136
mugspade.ru,3.71422952264587E-5,74475
www.redlinesys.net,9.362322916302476E-4,874808
vcvcvcvc.dyndns.org ,1.5171330184344315E-6,832
trapbath.ru,1.7707481790472395E-6,1288
www.dnswatch.info,2.066036441220985E-6,1898
vcvcvcvc.dyndns.org ,2.079705217367448E-6,1925
vcvcvcvc.dyndns.org ,2.0797052173676622E-6,1926
vcvcvcvc.dyndns.org ,2.079705217370194E-6,1927
61.178.77.169,4.082563726903872E-6,7039
61.178.77.169,5.006477203629402E-6,9643
64.235.43.131,5.011383267582587E-6,9653
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.019225169640672E-6,9674
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.019225169640672E-6,9675
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.019225169640672E-6,9676
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.019225169640672E-6,9677
trapbath.ru,5.019225169640672E-6,9678
trapbath.ru,5.019225169640672E-6,9679
trapbath.ru,5.019225169640672E-6,9680
