Nov 26, 2016 10:31:13 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 26, 2016 10:31:13 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 26, 2016 10:31:13 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 26, 2016 10:31:13 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 17 ms. row count = 105
www.dnswatch.info,2.0087890287565293E-6,1650
vcvcvcvc.dyndns.org ,2.019331328713168E-6,1671
vcvcvcvc.dyndns.org ,2.0193313287142656E-6,1672
vcvcvcvc.dyndns.org ,2.019331328714282E-6,1673
trapbath.ru,2.671826887885157E-6,3216
trapbath.ru,2.671826887885211E-6,3217
trapbath.ru,4.312287271037482E-6,7796
61.178.77.169,4.621398941249604E-6,8612
64.235.43.131,5.1859562783555954E-6,10063
64.235.43.131,5.196910796270932E-6,10087
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.197237736055889E-6,10088
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.197237736055889E-6,10089
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.197237736055889E-6,10090
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.197237736055889E-6,10091
trapbath.ru,5.197237736055889E-6,10092
trapbath.ru,5.197237736055889E-6,10093
trapbath.ru,5.197237736055889E-6,10094
sgb-sy.com,5.197237736055889E-6,10095
sgb-sy.com,5.197237736055889E-6,10096
sgb-sy.com,5.197237736055889E-6,10097
sgb-sy.com,5.197237736055889E-6,10098
telecrop.com,5.197237736055889E-6,10099
telecrop.com,5.197237736055889E-6,10100
telecrop.com,5.197237736055889E-6,10101
telecrop.com,5.197237736055889E-6,10102
nginx,5.197237736055889E-6,10103
nginx,5.197237736055889E-6,10104
www.download.windowsupdate.com,5.197237736055889E-6,10105
www.download.windowsupdate.com,5.197237736055889E-6,10106
www.download.windowsupdate.com,5.197237736055889E-6,10107
www.download.windowsupdate.com,5.197237736055889E-6,10108
www.download.windowsupdate.com,5.197237736055889E-6,10109
trapbath.ru,6.173068398038715E-6,12893
61.178.77.170,6.223432967744818E-6,13055
61.178.77.169,6.400962935566649E-6,13528
vcvcvcvc.dyndns.org ,7.482392252125866E-6,16107
vcvcvcvc.dyndns.org ,7.486278103132639E-6,16112
nginx/0.7.67\r\n,7.488450793432519E-6,16115
rwyngtbvunfpk.org\r\n,7.490270525984726E-6,16124
rwyngtbvunfpk.org\r\n,7.490270525984726E-6,16125
rwyngtbvunfpk.org\r\n,7.490270525984726E-6,16126
takeinfo.ru\r\n,7.490270525984726E-6,16127
dgyqimolcqm.cm\r\n,7.490270525984726E-6,16128
dgyqimolcqm.cm\r\n,7.490270525984726E-6,16129
dgyqimolcqm.cm\r\n,7.490270525984726E-6,16130
dgyqimolcqm.cm\r\n,7.490270525984726E-6,16131
nginx/0.7.67\r\n,7.492680826468517E-6,16139
trapbath.ru,8.629084689350393E-6,18841
146.185.213.35,1.0282726263253109E-5,22737
trapbath.ru,1.0394643242064692E-5,22977
trapbath.ru,1.0394643242064692E-5,22978
64.235.43.131,1.0394643242064692E-5,22979
64.235.43.131,1.0394643242064692E-5,22980
sgb-sy.com,1.0394643242064692E-5,22981
sgb-sy.com,1.0394643242064692E-5,22982
telecrop.com,1.0394643242064692E-5,22983
telecrop.com,1.0394643242064692E-5,22984
nginx,1.0394643242064692E-5,22985
nginx,1.0394643242064692E-5,22986
64.235.43.131,1.0397636052280366E-5,22989
64.235.43.131,1.0397636052280366E-5,22990
trapbath.ru,1.2347047692135111E-5,27189
vcvcvcvc.dyndns.org ,1.496649884703197E-5,32655
vcvcvcvc.dyndns.org ,1.496649884703197E-5,32656
vcvcvcvc.dyndns.org ,1.4974262686477357E-5,32680
vcvcvcvc.dyndns.org ,1.4974262686477357E-5,32681
rwyngtbvunfpk.org\r\n,1.4980825917766149E-5,32695
rwyngtbvunfpk.org\r\n,1.4980825917766149E-5,32696
64.235.43.131,1.4980825917766149E-5,32697
64.235.43.131,1.4980825917766149E-5,32698
64.235.43.131,1.4980825917766149E-5,32699
takeinfo.ru\r\n,1.4980825917766149E-5,32700
takeinfo.ru\r\n,1.4980825917766149E-5,32701
takeinfo.ru\r\n,1.4980825917766149E-5,32702
takeinfo.ru\r\n,1.4980825917766149E-5,32703
nginx/0.7.67\r\n,1.4980825917766149E-5,32704
nginx,1.559204880406294E-5,33919
nginx,1.559204880406294E-5,33920
nginx,1.559204880406294E-5,33921
nginx,1.559204880406294E-5,33922
nginx,1.559204880406294E-5,33923
nginx,1.559204880406294E-5,33924
146.185.213.35,5.7248492296724475E-5,105014
www.dnswatch.info,6.738644388595196E-5,120107
omegaartworld.com,2.949733126797428E-4,372000
omegaartworld.com,3.063146698674835E-4,382547
firewall.happytohell.com,5.799348397651113E-4,613360
mugspade.ru,2.1758204279394585E-5,46156
64.235.43.131,2.9984255313533816E-5,60973
64.235.43.131,2.9984255313533816E-5,60974
nginx/0.7.67\r\n,2.9984255313533816E-5,60975
nginx/0.7.67\r\n,2.9984255313533816E-5,60976
mugspade.ru,3.6490069676067526E-5,72181
www.redlinesys.net,4.1272016992863984E-4,475472
omegaartworld.com,4.36491719672095E-4,496134
firewall.happytohell.com,4.89288286765729E-4,540150
146.185.213.35,6.648035701328606E-4,678158
firewall.happytohell.com,0.0013524413585324015,1128593
mugspade.ru,2.3780360649359983E-4,318176
www.redlinesys.net,2.708512153091875E-4,349609
firewall.happytohell.com,0.0014959681220831707,1208782
firewall.happytohell.com,0.0028690131092087,1835132
www.dnswatch.info,9.784598340741348E-5,161919
www.redlinesys.net,2.028279315228045E-4,282860
firewall.happytohell.com,1.629470655291571E-4,240375
