Nov 26, 2016 9:22:03 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 26, 2016 9:22:03 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 26, 2016 9:22:03 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 26, 2016 9:22:03 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 16 ms. row count = 105
omegaartworld.com,4.9116321669998576E-5,147952
firewall.happytohell.com,2.1393800401734814E-4,459159
firewall.happytohell.com,4.7252284657998717E-4,795855
vcvcvcvc.dyndns.org ,9.928804547904961E-7,1978
vcvcvcvc.dyndns.org ,9.939475255663343E-7,1983
61.178.77.169,1.0608513554316498E-6,2377
trapbath.ru,1.154700825831371E-6,2871
trapbath.ru,1.1547008258326792E-6,2872
61.178.77.169,1.3217316196846104E-6,3747
64.235.43.131,1.542422614310291E-6,4973
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.5441657376416017E-6,5000
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.5441657376416017E-6,5001
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.5441657376416017E-6,5002
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.5441657376416017E-6,5003
trapbath.ru,1.5441657376416017E-6,5004
trapbath.ru,1.5441657376416017E-6,5005
trapbath.ru,1.5441657376416017E-6,5006
sgb-sy.com,1.5441657376416017E-6,5007
sgb-sy.com,1.5441657376416017E-6,5008
sgb-sy.com,1.5441657376416017E-6,5009
sgb-sy.com,1.5441657376416017E-6,5010
telecrop.com,1.5441657376416017E-6,5011
telecrop.com,1.5441657376416017E-6,5012
telecrop.com,1.5441657376416017E-6,5013
telecrop.com,1.5441657376416017E-6,5014
nginx,1.5441657376416017E-6,5015
nginx,1.5441657376416017E-6,5016
www.download.windowsupdate.com,1.5441657376416017E-6,5017
www.download.windowsupdate.com,1.5441657376416017E-6,5018
www.download.windowsupdate.com,1.5441657376416017E-6,5019
www.download.windowsupdate.com,1.5441657376416017E-6,5020
www.download.windowsupdate.com,1.5441657376416017E-6,5021
64.235.43.131,1.5447907664387709E-6,5037
nginx/0.7.67\r\n,1.6738815658554682E-6,5628
nginx/0.7.67\r\n,1.6751783167082557E-6,5631
rwyngtbvunfpk.org\r\n,1.6754597324521675E-6,5634
rwyngtbvunfpk.org\r\n,1.6754597324521675E-6,5635
rwyngtbvunfpk.org\r\n,1.6754597324521675E-6,5636
takeinfo.ru\r\n,1.6754597324521675E-6,5637
dgyqimolcqm.cm\r\n,1.6754597324521675E-6,5638
dgyqimolcqm.cm\r\n,1.6754597324521675E-6,5639
dgyqimolcqm.cm\r\n,1.6754597324521675E-6,5640
dgyqimolcqm.cm\r\n,1.6754597324521675E-6,5641
146.185.213.35,1.7148190832682324E-6,5890
vcvcvcvc.dyndns.org ,1.986391774720459E-6,7145
vcvcvcvc.dyndns.org ,1.986391774723093E-6,7146
vcvcvcvc.dyndns.org ,1.9883358687841375E-6,7158
vcvcvcvc.dyndns.org ,1.9883358687867337E-6,7159
vcvcvcvc.dyndns.org ,2.2401114281144836E-6,8477
vcvcvcvc.dyndns.org ,2.2401114281144874E-6,8478
vcvcvcvc.dyndns.org ,2.2401114281144874E-6,8479
www.dnswatch.info,2.242367842817743E-6,8488
trapbath.ru,2.3152787713150474E-6,8826
trapbath.ru,2.3830071975995207E-6,9152
61.178.77.170,2.8916590921670942E-6,11503
trapbath.ru,3.088344262367354E-6,12353
trapbath.ru,3.088344262367354E-6,12354
64.235.43.131,3.088344262367354E-6,12355
64.235.43.131,3.088344262367354E-6,12356
sgb-sy.com,3.088344262367354E-6,12357
sgb-sy.com,3.088344262367354E-6,12358
telecrop.com,3.088344262367354E-6,12359
telecrop.com,3.088344262367354E-6,12360
nginx,3.088344262367354E-6,12361
nginx,3.088344262367354E-6,12362
64.235.43.131,3.090382207439525E-6,12381
64.235.43.131,3.090382207439525E-6,12382
rwyngtbvunfpk.org\r\n,3.3509418770355666E-6,13598
rwyngtbvunfpk.org\r\n,3.3509418770355666E-6,13599
64.235.43.131,3.3509418770355666E-6,13600
64.235.43.131,3.3509418770355666E-6,13601
64.235.43.131,3.3509418770355666E-6,13602
takeinfo.ru\r\n,3.3509418770355666E-6,13603
takeinfo.ru\r\n,3.3509418770355666E-6,13604
takeinfo.ru\r\n,3.3509418770355666E-6,13605
takeinfo.ru\r\n,3.3509418770355666E-6,13606
nginx/0.7.67\r\n,3.3509418770355666E-6,13607
trapbath.ru,4.631095261818279E-6,19147
nginx,4.632522791356873E-6,19155
nginx,4.632522791356873E-6,19156
nginx,4.632522791356873E-6,19157
nginx,4.632522791356873E-6,19158
nginx,4.632522791356873E-6,19159
nginx,4.632522791356873E-6,19160
trapbath.ru,4.766432572775162E-6,19774
www.dnswatch.info,4.880103908489898E-6,20237
www.dnswatch.info,5.321603357484048E-6,21993
64.235.43.131,6.704668024380359E-6,27329
64.235.43.131,6.704668024380359E-6,27330
nginx/0.7.67\r\n,6.704668024380359E-6,27331
nginx/0.7.67\r\n,6.704668024380359E-6,27332
firewall.happytohell.com,3.8405994468343994E-4,687585
mugspade.ru,1.1092940840696004E-5,43077
146.185.213.35,1.5391104052076534E-5,56825
mugspade.ru,2.337511806197163E-5,80739
mugspade.ru,2.3991271221301627E-5,82588
www.redlinesys.net,2.4206300089356267E-4,500057
firewall.happytohell.com,2.5609441794824037E-4,519051
146.185.213.35,2.5715772052320516E-4,520792
firewall.happytohell.com,1.5713698834255135E-4,368891
omegaartworld.com,1.706713884188607E-4,390600
omegaartworld.com,1.7170487515802012E-4,392350
www.redlinesys.net,1.8224536941908727E-4,409335
firewall.happytohell.com,1.0983544360014449E-4,281570
www.redlinesys.net,1.2086162080063284E-4,302703
