Nov 26, 2016 10:50:22 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 26, 2016 10:50:22 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 26, 2016 10:50:22 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 26, 2016 10:50:22 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 17 ms. row count = 105
www.redlinesys.net,6.276846155035445E-4,675352
omegaartworld.com,8.185485767249797E-4,815071
firewall.happytohell.com,8.254565414412415E-4,820437
firewall.happytohell.com,9.374428866719383E-4,904182
146.185.213.35,1.1381648017895066E-4,189854
omegaartworld.com,7.60458690924101E-4,773010
www.redlinesys.net,7.675924210226147E-4,778320
www.redlinesys.net,0.0011057238583475116,1012697
firewall.happytohell.com,0.0011266160020442708,1027149
mugspade.ru,3.898498948686391E-5,79018
firewall.happytohell.com,1.799643917779989E-4,267721
trapbath.ru,2.3278938103671482E-5,50181
mugspade.ru,2.3573962038026434E-5,50735
trapbath.ru,2.3708043052111224E-5,50974
mugspade.ru,2.822031995370567E-5,59492
www.dnswatch.info,2.8435933686834738E-5,59971
omegaartworld.com,4.487271350028372E-4,532553
firewall.happytohell.com,0.0012545663565781116,1109913
firewall.happytohell.com,0.001328628510169236,1155374
146.185.213.35,7.38213250569824E-5,133904
nginx/0.7.67\r\n,3.609680549101467E-6,6103
nginx/0.7.67\r\n,3.6136555654115143E-6,6112
rwyngtbvunfpk.org\r\n,3.6162012138512506E-6,6117
rwyngtbvunfpk.org\r\n,3.6162012138512506E-6,6118
rwyngtbvunfpk.org\r\n,3.6162012138512506E-6,6119
takeinfo.ru\r\n,3.6162012138512506E-6,6120
dgyqimolcqm.cm\r\n,3.6162012138512506E-6,6121
dgyqimolcqm.cm\r\n,3.6162012138512506E-6,6122
dgyqimolcqm.cm\r\n,3.6162012138512506E-6,6123
dgyqimolcqm.cm\r\n,3.6162012138512506E-6,6124
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.054209901198396E-6,10213
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.054209901198396E-6,10214
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.054209901198396E-6,10215
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.054209901198396E-6,10216
trapbath.ru,5.054209901198396E-6,10217
trapbath.ru,5.054209901198396E-6,10218
trapbath.ru,5.054209901198396E-6,10219
sgb-sy.com,5.054209901198396E-6,10220
sgb-sy.com,5.054209901198396E-6,10221
sgb-sy.com,5.054209901198396E-6,10222
sgb-sy.com,5.054209901198396E-6,10223
telecrop.com,5.054209901198396E-6,10224
telecrop.com,5.054209901198396E-6,10225
telecrop.com,5.054209901198396E-6,10226
telecrop.com,5.054209901198396E-6,10227
nginx,5.054209901198396E-6,10228
nginx,5.054209901198396E-6,10229
www.download.windowsupdate.com,5.054209901198396E-6,10230
www.download.windowsupdate.com,5.054209901198396E-6,10231
www.download.windowsupdate.com,5.054209901198396E-6,10232
www.download.windowsupdate.com,5.054209901198396E-6,10233
www.download.windowsupdate.com,5.054209901198396E-6,10234
64.235.43.131,5.054303521261457E-6,10235
64.235.43.131,5.059678589714416E-6,10252
vcvcvcvc.dyndns.org ,5.290640434423848E-6,10902
vcvcvcvc.dyndns.org ,5.2911663333254224E-6,10905
vcvcvcvc.dyndns.org ,5.291253186246733E-6,10906
rwyngtbvunfpk.org\r\n,7.232692408412997E-6,15944
rwyngtbvunfpk.org\r\n,7.232692408412997E-6,15945
64.235.43.131,7.232692408412997E-6,15946
64.235.43.131,7.232692408412997E-6,15947
64.235.43.131,7.232692408412997E-6,15948
takeinfo.ru\r\n,7.232692408412997E-6,15949
takeinfo.ru\r\n,7.232692408412997E-6,15950
takeinfo.ru\r\n,7.232692408412997E-6,15951
takeinfo.ru\r\n,7.232692408412997E-6,15952
nginx/0.7.67\r\n,7.232692408412997E-6,15953
61.178.77.169,7.644390175635214E-6,16978
61.178.77.169,7.83707079308273E-6,17412
vcvcvcvc.dyndns.org ,9.26261407038753E-6,20876
vcvcvcvc.dyndns.org ,9.264049412041351E-6,20879
www.dnswatch.info,9.593704475645905E-6,21710
trapbath.ru,1.0108589721617634E-5,22888
trapbath.ru,1.0108589721617634E-5,22889
64.235.43.131,1.0108589721617634E-5,22890
64.235.43.131,1.0108589721617634E-5,22891
sgb-sy.com,1.0108589721617634E-5,22892
sgb-sy.com,1.0108589721617634E-5,22893
telecrop.com,1.0108589721617634E-5,22894
telecrop.com,1.0108589721617634E-5,22895
nginx,1.0108589721617634E-5,22896
nginx,1.0108589721617634E-5,22897
64.235.43.131,1.01213115151477E-5,22936
64.235.43.131,1.01213115151477E-5,22937
trapbath.ru,1.0724603721630936E-5,24329
146.185.213.35,1.1113011600540912E-5,25322
trapbath.ru,1.1689267713838873E-5,26607
trapbath.ru,1.168926773486645E-5,26608
trapbath.ru,1.1690562510449033E-5,26610
61.178.77.170,1.2706891786361723E-5,28786
64.235.43.131,1.4467413987068151E-5,32648
64.235.43.131,1.4467413987068151E-5,32649
nginx/0.7.67\r\n,1.4467413987068151E-5,32650
nginx/0.7.67\r\n,1.4467413987068151E-5,32651
nginx,1.5162969598705525E-5,34126
nginx,1.5162969598705525E-5,34127
nginx,1.5162969598705525E-5,34128
nginx,1.5162969598705525E-5,34129
nginx,1.5162969598705525E-5,34130
nginx,1.5162969598705525E-5,34131
vcvcvcvc.dyndns.org ,1.8528372184135185E-5,40837
vcvcvcvc.dyndns.org ,1.8528372184135185E-5,40838
vcvcvcvc.dyndns.org ,1.8531240857272247E-5,40843
vcvcvcvc.dyndns.org ,1.8531240857272247E-5,40844
www.dnswatch.info,1.9776371388224602E-5,43375
