Nov 26, 2016 10:09:54 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 26, 2016 10:09:54 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 26, 2016 10:09:54 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 26, 2016 10:09:54 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 15 ms. row count = 105
64.235.43.131,1.6703291735282286E-5,46110
64.235.43.131,1.6703291735282286E-5,46111
nginx/0.7.67\r\n,1.6703291735282286E-5,46112
nginx/0.7.67\r\n,1.6703291735282286E-5,46113
mugspade.ru,1.7811229505907788E-5,48692
mugspade.ru,2.7274411151138983E-5,70052
mugspade.ru,4.6775180333372494E-5,109735
omegaartworld.com,2.3977892327502122E-4,383438
omegaartworld.com,5.9545555322146916E-5,133266
www.redlinesys.net,1.8992891002678086E-4,322397
www.redlinesys.net,2.1571126805094838E-4,354212
omegaartworld.com,2.2496158761498955E-4,364887
firewall.happytohell.com,3.097804144169081E-4,463490
146.185.213.35,3.1719019777234144E-4,472423
firewall.happytohell.com,3.218778041552187E-4,477565
trapbath.ru,1.0417067102140593E-6,623
trapbath.ru,1.0417067332443138E-6,624
www.dnswatch.info,2.2204113927947094E-6,4246
vcvcvcvc.dyndns.org ,2.2287520078952467E-6,4279
vcvcvcvc.dyndns.org ,2.22875200789594E-6,4280
vcvcvcvc.dyndns.org ,2.2287520078961056E-6,4281
64.235.43.131,2.4887117203772233E-6,5195
64.235.43.131,2.4946249948723805E-6,5218
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.495207820043288E-6,5223
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.495207820043288E-6,5224
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.495207820043288E-6,5225
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.495207820043288E-6,5226
trapbath.ru,2.495207820043288E-6,5227
trapbath.ru,2.495207820043288E-6,5228
trapbath.ru,2.495207820043288E-6,5229
sgb-sy.com,2.495207820043288E-6,5230
sgb-sy.com,2.495207820043288E-6,5231
sgb-sy.com,2.495207820043288E-6,5232
sgb-sy.com,2.495207820043288E-6,5233
telecrop.com,2.495207820043288E-6,5234
telecrop.com,2.495207820043288E-6,5235
telecrop.com,2.495207820043288E-6,5236
telecrop.com,2.495207820043288E-6,5237
nginx,2.495207820043288E-6,5238
nginx,2.495207820043288E-6,5239
www.download.windowsupdate.com,2.495207820043288E-6,5240
www.download.windowsupdate.com,2.495207820043288E-6,5241
www.download.windowsupdate.com,2.495207820043288E-6,5242
www.download.windowsupdate.com,2.495207820043288E-6,5243
www.download.windowsupdate.com,2.495207820043288E-6,5244
61.178.77.170,3.1509828209676965E-6,7710
trapbath.ru,3.284226816764492E-6,8183
61.178.77.169,3.3644398174048164E-6,8451
vcvcvcvc.dyndns.org ,3.392216856846617E-6,8572
146.185.213.35,3.9487278274848385E-6,10447
vcvcvcvc.dyndns.org ,3.986386828535614E-6,10564
rwyngtbvunfpk.org\r\n,4.171938616554417E-6,11239
rwyngtbvunfpk.org\r\n,4.171938616554417E-6,11240
rwyngtbvunfpk.org\r\n,4.171938616554417E-6,11241
takeinfo.ru\r\n,4.171938616554417E-6,11242
dgyqimolcqm.cm\r\n,4.171938616554417E-6,11243
dgyqimolcqm.cm\r\n,4.171938616554417E-6,11244
dgyqimolcqm.cm\r\n,4.171938616554417E-6,11245
dgyqimolcqm.cm\r\n,4.171938616554417E-6,11246
