Nov 10, 2016 5:14:15 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 10, 2016 5:14:15 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 10, 2016 5:14:15 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 10, 2016 5:14:15 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 27 ms. row count = 105
omegaartworld.com,2.0157846787241597E-4,393659
www.redlinesys.net,2.1118049525186103E-4,407008
omegaartworld.com,2.1744909364870645E-4,416699
www.redlinesys.net,2.1744909364870645E-4,416700
mugspade.ru,3.609478882513248E-5,103997
mugspade.ru,4.285624698624974E-5,119309
mugspade.ru,5.077416456093931E-5,136880
trapbath.ru,8.803607030558031E-7,854
trapbath.ru,8.803607030558031E-7,855
trapbath.ru,8.803607030558031E-7,856
trapbath.ru,8.803607030558031E-7,857
trapbath.ru,1.76072140600606E-6,4260
trapbath.ru,1.76072140600606E-6,4261
61.178.77.169,1.908030685377184E-6,4879
61.178.77.170,1.908030685377184E-6,4880
61.178.77.169,1.966527332195216E-6,5110
vcvcvcvc.dyndns.org ,2.1271316249358214E-6,5856
vcvcvcvc.dyndns.org ,2.1272081360805478E-6,5858
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.199472507651244E-6,6170
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.199472507651244E-6,6171
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.199472507651244E-6,6172
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.199472507651244E-6,6173
trapbath.ru,2.199472507651244E-6,6174
trapbath.ru,2.199472507651244E-6,6175
trapbath.ru,2.199472507651244E-6,6176
sgb-sy.com,2.199472507651244E-6,6177
sgb-sy.com,2.199472507651244E-6,6178
sgb-sy.com,2.199472507651244E-6,6179
sgb-sy.com,2.199472507651244E-6,6180
telecrop.com,2.199472507651244E-6,6181
telecrop.com,2.199472507651244E-6,6182
telecrop.com,2.199472507651244E-6,6183
telecrop.com,2.199472507651244E-6,6184
nginx,2.199472507651244E-6,6185
nginx,2.199472507651244E-6,6186
www.download.windowsupdate.com,2.199472507651244E-6,6187
www.download.windowsupdate.com,2.199472507651244E-6,6188
www.download.windowsupdate.com,2.199472507651244E-6,6189
www.download.windowsupdate.com,2.199472507651244E-6,6190
www.download.windowsupdate.com,2.199472507651244E-6,6191
64.235.43.131,2.2033486839845193E-6,6211
64.235.43.131,2.214977212985587E-6,6259
vcvcvcvc.dyndns.org ,3.1490294901100007E-6,10136
vcvcvcvc.dyndns.org ,3.1490294901100007E-6,10137
vcvcvcvc.dyndns.org ,3.1490294901100007E-6,10138
www.dnswatch.info,3.2130586151990562E-6,10386
rwyngtbvunfpk.org\r\n,3.7601108607021715E-6,12624
rwyngtbvunfpk.org\r\n,3.7601108607021715E-6,12625
rwyngtbvunfpk.org\r\n,3.7601108607021715E-6,12626
takeinfo.ru\r\n,3.7601108607021715E-6,12627
dgyqimolcqm.cm\r\n,3.7601108607021715E-6,12628
dgyqimolcqm.cm\r\n,3.7601108607021715E-6,12629
dgyqimolcqm.cm\r\n,3.7601108607021715E-6,12630
dgyqimolcqm.cm\r\n,3.7601108607021715E-6,12631
nginx/0.7.67\r\n,3.763965594447443E-6,12644
nginx/0.7.67\r\n,3.7678203281930233E-6,12660
vcvcvcvc.dyndns.org ,4.254263250042036E-6,14600
vcvcvcvc.dyndns.org ,4.254263250042038E-6,14601
vcvcvcvc.dyndns.org ,4.2544162723315076E-6,14602
vcvcvcvc.dyndns.org ,4.254416272331509E-6,14603
trapbath.ru,4.398945015478688E-6,15096
trapbath.ru,4.398945015478688E-6,15097
64.235.43.131,4.398945015478688E-6,15098
64.235.43.131,4.398945015478688E-6,15099
sgb-sy.com,4.398945015478688E-6,15100
sgb-sy.com,4.398945015478688E-6,15101
telecrop.com,4.398945015478688E-6,15102
telecrop.com,4.398945015478688E-6,15103
nginx,4.398945015478688E-6,15104
nginx,4.398945015478688E-6,15105
64.235.43.131,4.402821191811963E-6,15115
64.235.43.131,4.402821191811963E-6,15116
www.dnswatch.info,4.575918353985715E-6,15729
146.185.213.35,4.858661978487997E-6,16800
www.dnswatch.info,6.161401690855921E-6,21487
nginx,6.598417523164157E-6,22933
nginx,6.598417523164157E-6,22934
nginx,6.598417523164157E-6,22935
nginx,6.598417523164157E-6,22936
nginx,6.598417523164157E-6,22937
nginx,6.598417523164157E-6,22938
rwyngtbvunfpk.org\r\n,7.520221721705565E-6,26255
rwyngtbvunfpk.org\r\n,7.520221721705565E-6,26256
64.235.43.131,7.520221721705565E-6,26257
64.235.43.131,7.520221721705565E-6,26258
64.235.43.131,7.520221721705565E-6,26259
takeinfo.ru\r\n,7.520221721705565E-6,26260
takeinfo.ru\r\n,7.520221721705565E-6,26261
takeinfo.ru\r\n,7.520221721705565E-6,26262
takeinfo.ru\r\n,7.520221721705565E-6,26263
nginx/0.7.67\r\n,7.520221721705565E-6,26264
146.185.213.35,1.2449023272956952E-5,41744
64.235.43.131,1.5044298177758823E-5,49467
64.235.43.131,1.5044298177758823E-5,49468
nginx/0.7.67\r\n,1.5044298177758823E-5,49469
nginx/0.7.67\r\n,1.5044298177758823E-5,49470
146.185.213.35,1.5083959835072459E-5,49585
firewall.happytohell.com,1.3683625435020522E-4,294612
firewall.happytohell.com,1.4635844579808738E-4,310335
firewall.happytohell.com,3.636875428970182E-4,604233
firewall.happytohell.com,1.0243853796506283E-4,238331
firewall.happytohell.com,1.0605040984671619E-4,244887
omegaartworld.com,1.7783285927043066E-4,358774
www.redlinesys.net,1.9927290633324986E-4,390365
firewall.happytohell.com,2.3547175057166193E-4,442470
