Nov 10, 2016 4:25:03 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 10, 2016 4:25:03 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 10, 2016 4:25:03 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 10, 2016 4:25:03 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 19 ms. row count = 105
firewall.happytohell.com,1.1865950746726823E-4,297567
firewall.happytohell.com,1.3356561628708794E-4,322964
www.redlinesys.net,1.768478450372408E-4,392274
omegaartworld.com,1.7911979635812898E-4,395682
www.redlinesys.net,1.8774824556021998E-4,409014
omegaartworld.com,1.9321463638561688E-4,416826
www.redlinesys.net,1.9321463638561688E-4,416827
64.235.43.131,1.283369120523757E-5,48050
64.235.43.131,1.283369120523757E-5,48051
nginx/0.7.67\r\n,1.283369120523757E-5,48052
nginx/0.7.67\r\n,1.283369120523757E-5,48053
146.185.213.35,1.8234566962608364E-5,65112
firewall.happytohell.com,3.639713297953043E-4,655359
www.dnswatch.info,4.014214492757238E-7,167
trapbath.ru,7.822454914616303E-7,1007
trapbath.ru,7.822454914616303E-7,1008
trapbath.ru,7.822454914616303E-7,1009
trapbath.ru,7.822454914616303E-7,1010
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,8.620137448952243E-7,1394
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,8.620137448952243E-7,1395
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,8.620137448952243E-7,1396
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,8.620137448952243E-7,1397
trapbath.ru,8.620137448952243E-7,1398
trapbath.ru,8.620137448952243E-7,1399
trapbath.ru,8.620137448952243E-7,1400
sgb-sy.com,8.620137448952243E-7,1401
sgb-sy.com,8.620137448952243E-7,1402
sgb-sy.com,8.620137448952243E-7,1403
sgb-sy.com,8.620137448952243E-7,1404
telecrop.com,8.620137448952243E-7,1405
telecrop.com,8.620137448952243E-7,1406
telecrop.com,8.620137448952243E-7,1407
telecrop.com,8.620137448952243E-7,1408
nginx,8.620137448952243E-7,1409
nginx,8.620137448952243E-7,1410
www.download.windowsupdate.com,8.620137448952243E-7,1411
www.download.windowsupdate.com,8.620137448952243E-7,1412
www.download.windowsupdate.com,8.620137448952243E-7,1413
www.download.windowsupdate.com,8.620137448952243E-7,1414
www.download.windowsupdate.com,8.620137448952243E-7,1415
64.235.43.131,8.65276626424797E-7,1437
64.235.43.131,8.750652710145605E-7,1562
vcvcvcvc.dyndns.org ,1.364907329597005E-6,3887
vcvcvcvc.dyndns.org ,1.364907329999813E-6,3888
vcvcvcvc.dyndns.org ,1.3649073302689179E-6,3889
trapbath.ru,1.5644909828294773E-6,4714
trapbath.ru,1.5644909828294773E-6,4715
trapbath.ru,1.724027489687102E-6,5594
trapbath.ru,1.724027489687102E-6,5595
64.235.43.131,1.724027489687102E-6,5596
64.235.43.131,1.724027489687102E-6,5597
sgb-sy.com,1.724027489687102E-6,5598
sgb-sy.com,1.724027489687102E-6,5599
telecrop.com,1.724027489687102E-6,5600
telecrop.com,1.724027489687102E-6,5601
nginx,1.724027489687102E-6,5602
nginx,1.724027489687102E-6,5603
64.235.43.131,1.7272903712166745E-6,5631
64.235.43.131,1.7272903712166745E-6,5632
61.178.77.169,2.015251991953314E-6,7219
146.185.213.35,2.023369831593055E-6,7250
61.178.77.169,2.0957902565803177E-6,7587
61.178.77.170,2.0957902565803177E-6,7588
vcvcvcvc.dyndns.org ,2.157678351190421E-6,7883
vcvcvcvc.dyndns.org ,2.157678372375269E-6,7884
nginx,2.5860412347681426E-6,9722
nginx,2.5860412347681426E-6,9723
nginx,2.5860412347681426E-6,9724
nginx,2.5860412347681426E-6,9725
nginx,2.5860412347681426E-6,9726
nginx,2.5860412347681426E-6,9727
rwyngtbvunfpk.org\r\n,3.2080473661224332E-6,12533
rwyngtbvunfpk.org\r\n,3.2080473661224332E-6,12534
rwyngtbvunfpk.org\r\n,3.2080473661224332E-6,12535
takeinfo.ru\r\n,3.2080473661224332E-6,12536
dgyqimolcqm.cm\r\n,3.2080473661224332E-6,12537
dgyqimolcqm.cm\r\n,3.2080473661224332E-6,12538
dgyqimolcqm.cm\r\n,3.2080473661224332E-6,12539
dgyqimolcqm.cm\r\n,3.2080473661224332E-6,12540
nginx/0.7.67\r\n,3.209549105842279E-6,12550
nginx/0.7.67\r\n,3.2110508455619445E-6,12556
vcvcvcvc.dyndns.org ,4.315356702553903E-6,17319
vcvcvcvc.dyndns.org ,4.315356702554495E-6,17320
vcvcvcvc.dyndns.org ,4.315356744916595E-6,17321
vcvcvcvc.dyndns.org ,4.315356744917187E-6,17322
www.dnswatch.info,5.576144192049696E-6,22366
rwyngtbvunfpk.org\r\n,6.416094732501864E-6,25483
rwyngtbvunfpk.org\r\n,6.416094732501864E-6,25484
64.235.43.131,6.416094732501864E-6,25485
64.235.43.131,6.416094732501864E-6,25486
64.235.43.131,6.416094732501864E-6,25487
takeinfo.ru\r\n,6.416094732501864E-6,25488
takeinfo.ru\r\n,6.416094732501864E-6,25489
takeinfo.ru\r\n,6.416094732501864E-6,25490
takeinfo.ru\r\n,6.416094732501864E-6,25491
nginx/0.7.67\r\n,6.416094732501864E-6,25492
www.dnswatch.info,7.725479328926783E-6,30702
146.185.213.35,1.2508085782969478E-5,47079
mugspade.ru,4.537023850267061E-5,138305
firewall.happytohell.com,1.4920602870394632E-4,348631
firewall.happytohell.com,1.556852104542218E-4,359271
omegaartworld.com,1.58013587829917E-4,363295
