Nov 10, 2016 7:22:00 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 10, 2016 7:22:00 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 10, 2016 7:22:00 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 10, 2016 7:22:00 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 21 ms. row count = 105
www.dnswatch.info,7.833333837975565E-5,128250
146.185.213.35,7.927582857909492E-5,129418
firewall.happytohell.com,1.581088723553923E-4,222123
omegaartworld.com,4.3500483594496296E-5,80254
mugspade.ru,4.8280585948422255E-5,87223
www.dnswatch.info,5.904109155444584E-5,102565
mugspade.ru,2.0228459870685382E-4,266223
omegaartworld.com,2.096708549722077E-4,273233
firewall.happytohell.com,2.1453175189545658E-4,277912
firewall.happytohell.com,3.277070882540427E-4,380282
omegaartworld.com,3.6518591232187865E-4,411365
firewall.happytohell.com,3.830097615567015E-4,426424
firewall.happytohell.com,8.526816446520262E-4,773912
www.redlinesys.net,0.001030743322384211,885919
vcvcvcvc.dyndns.org ,1.4699089219106334E-6,907
vcvcvcvc.dyndns.org ,1.4699089219106368E-6,908
vcvcvcvc.dyndns.org ,1.4699089219106461E-6,909
www.dnswatch.info,1.5188379371889155E-6,993
61.178.77.169,1.7333765896593011E-6,1347
trapbath.ru,3.5137802424619017E-6,5442
61.178.77.169,4.151040790851198E-6,7069
61.178.77.170,4.151040790851198E-6,7070
trapbath.ru,4.305396559003397E-6,7491
trapbath.ru,4.305396559003397E-6,7492
trapbath.ru,4.38302377247414E-6,7662
rwyngtbvunfpk.org\r\n,5.190886788206427E-6,9765
rwyngtbvunfpk.org\r\n,5.190886788206427E-6,9766
rwyngtbvunfpk.org\r\n,5.190886788206427E-6,9767
takeinfo.ru\r\n,5.190886788206427E-6,9768
dgyqimolcqm.cm\r\n,5.190886788206427E-6,9769
dgyqimolcqm.cm\r\n,5.190886788206427E-6,9770
dgyqimolcqm.cm\r\n,5.190886788206427E-6,9771
dgyqimolcqm.cm\r\n,5.190886788206427E-6,9772
nginx/0.7.67\r\n,5.201558309861269E-6,9806
nginx/0.7.67\r\n,5.212229830997878E-6,9836
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.435965236971887E-6,10455
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.435965236971887E-6,10456
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.435965236971887E-6,10457
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.435965236971887E-6,10458
trapbath.ru,5.435965236971887E-6,10459
trapbath.ru,5.435965236971887E-6,10460
trapbath.ru,5.435965236971887E-6,10461
sgb-sy.com,5.435965236971887E-6,10462
sgb-sy.com,5.435965236971887E-6,10463
sgb-sy.com,5.435965236971887E-6,10464
sgb-sy.com,5.435965236971887E-6,10465
telecrop.com,5.435965236971887E-6,10466
telecrop.com,5.435965236971887E-6,10467
telecrop.com,5.435965236971887E-6,10468
telecrop.com,5.435965236971887E-6,10469
nginx,5.435965236971887E-6,10470
nginx,5.435965236971887E-6,10471
www.download.windowsupdate.com,5.435965236971887E-6,10472
www.download.windowsupdate.com,5.435965236971887E-6,10473
www.download.windowsupdate.com,5.435965236971887E-6,10474
www.download.windowsupdate.com,5.435965236971887E-6,10475
www.download.windowsupdate.com,5.435965236971887E-6,10476
64.235.43.131,5.442275388720729E-6,10504
64.235.43.131,5.461205843423155E-6,10546
vcvcvcvc.dyndns.org ,6.52109397793059E-6,13125
vcvcvcvc.dyndns.org ,6.521093978293648E-6,13126
trapbath.ru,7.027560485205282E-6,14345
mugspade.ru,8.60314329640015E-6,17964
trapbath.ru,8.766047545299392E-6,18328
146.185.213.35,9.126326286022728E-6,19198
rwyngtbvunfpk.org\r\n,1.038177357579052E-5,22019
rwyngtbvunfpk.org\r\n,1.038177357579052E-5,22020
64.235.43.131,1.038177357579052E-5,22021
