Nov 10, 2016 6:27:55 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 10, 2016 6:27:55 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 10, 2016 6:27:55 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 10, 2016 6:27:55 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 19 ms. row count = 105
trapbath.ru,1.0126856651093526E-6,1017
trapbath.ru,1.2544846060181577E-6,1631
trapbath.ru,1.8323993630656687E-6,3375
trapbath.ru,1.8323993630656687E-6,3376
61.178.77.169,1.8655578862898838E-6,3479
61.178.77.169,1.8655578862898838E-6,3480
trapbath.ru,2.0253713300972945E-6,4006
vcvcvcvc.dyndns.org ,2.029708653581368E-6,4021
vcvcvcvc.dyndns.org ,2.0640586303051054E-6,4141
vcvcvcvc.dyndns.org ,2.0640784372284366E-6,4142
vcvcvcvc.dyndns.org ,2.373760503624894E-6,5090
vcvcvcvc.dyndns.org ,2.403110384521449E-6,5209
vcvcvcvc.dyndns.org ,2.4031350736887767E-6,5210
trapbath.ru,2.508969211885916E-6,5550
61.178.77.170,3.032641135423371E-6,7358
vcvcvcvc.dyndns.org ,3.627288028910396E-6,9641
vcvcvcvc.dyndns.org ,3.627288028910396E-6,9642
vcvcvcvc.dyndns.org ,3.627288028910396E-6,9643
www.dnswatch.info,3.691112604548526E-6,9858
rwyngtbvunfpk.org\r\n,3.941799940351867E-6,10656
rwyngtbvunfpk.org\r\n,3.941799940351867E-6,10657
rwyngtbvunfpk.org\r\n,3.941799940351867E-6,10658
takeinfo.ru\r\n,3.941799940351867E-6,10659
dgyqimolcqm.cm\r\n,3.941799940351867E-6,10660
dgyqimolcqm.cm\r\n,3.941799940351867E-6,10661
dgyqimolcqm.cm\r\n,3.941799940351867E-6,10662
dgyqimolcqm.cm\r\n,3.941799940351867E-6,10663
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,4.028946415150398E-6,10923
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,4.028946415150398E-6,10924
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,4.028946415150398E-6,10925
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,4.028946415150398E-6,10926
trapbath.ru,4.028946415150398E-6,10927
trapbath.ru,4.028946415150398E-6,10928
trapbath.ru,4.028946415150398E-6,10929
sgb-sy.com,4.028946415150398E-6,10930
sgb-sy.com,4.028946415150398E-6,10931
sgb-sy.com,4.028946415150398E-6,10932
sgb-sy.com,4.028946415150398E-6,10933
telecrop.com,4.028946415150398E-6,10934
telecrop.com,4.028946415150398E-6,10935
telecrop.com,4.028946415150398E-6,10936
telecrop.com,4.028946415150398E-6,10937
nginx,4.028946415150398E-6,10938
nginx,4.028946415150398E-6,10939
www.download.windowsupdate.com,4.028946415150398E-6,10940
www.download.windowsupdate.com,4.028946415150398E-6,10941
www.download.windowsupdate.com,4.028946415150398E-6,10942
www.download.windowsupdate.com,4.028946415150398E-6,10943
www.download.windowsupdate.com,4.028946415150398E-6,10944
146.185.213.35,5.037792700241623E-6,14259
146.185.213.35,5.523869442923307E-6,15651
rwyngtbvunfpk.org\r\n,7.883599881019513E-6,22751
rwyngtbvunfpk.org\r\n,7.883599881019513E-6,22752
64.235.43.131,7.883599881019513E-6,22753
64.235.43.131,7.883599881019513E-6,22754
64.235.43.131,7.883599881019513E-6,22755
takeinfo.ru\r\n,7.883599881019513E-6,22756
takeinfo.ru\r\n,7.883599881019513E-6,22757
takeinfo.ru\r\n,7.883599881019513E-6,22758
takeinfo.ru\r\n,7.883599881019513E-6,22759
nginx/0.7.67\r\n,7.883599881019513E-6,22760
nginx/0.7.67\r\n,7.883599881019513E-6,22761
trapbath.ru,8.057892830623557E-6,23226
trapbath.ru,8.057892830623557E-6,23227
64.235.43.131,8.057892830623557E-6,23228
64.235.43.131,8.057892830623557E-6,23229
64.235.43.131,8.057892830623557E-6,23230
sgb-sy.com,8.057892830623557E-6,23231
sgb-sy.com,8.057892830623557E-6,23232
telecrop.com,8.057892830623557E-6,23233
telecrop.com,8.057892830623557E-6,23234
nginx,8.057892830623557E-6,23235
nginx,8.057892830623557E-6,23236
www.dnswatch.info,8.681223389830597E-6,24789
www.dnswatch.info,1.1343167836048947E-5,31740
nginx/0.7.67\r\n,1.1825399821432719E-5,33041
64.235.43.131,1.208683924583665E-5,33763
64.235.43.131,1.208683924583665E-5,33764
nginx,1.208683924583665E-5,33765
nginx,1.208683924583665E-5,33766
nginx,1.208683924583665E-5,33767
nginx,1.208683924583665E-5,33768
nginx,1.208683924583665E-5,33769
nginx,1.208683924583665E-5,33770
64.235.43.131,1.9708999703058167E-5,51742
64.235.43.131,1.9708999703058167E-5,51743
nginx/0.7.67\r\n,1.9708999703058167E-5,51744
nginx/0.7.67\r\n,1.9708999703058167E-5,51745
64.235.43.131,2.014473207707954E-5,52675
146.185.213.35,2.1432059339637093E-5,55536
omegaartworld.com,3.7014301797219765E-4,515356
www.redlinesys.net,7.744002330292155E-5,160781
www.redlinesys.net,2.954009455117938E-4,435901
omegaartworld.com,3.0985768990938675E-4,452049
mugspade.ru,3.2217664189342E-5,78072
firewall.happytohell.com,1.8742407325693792E-4,311764
omegaartworld.com,2.237805860231435E-4,353863
firewall.happytohell.com,1.2801525853215083E-4,235902
firewall.happytohell.com,5.656600516272758E-4,697888
firewall.happytohell.com,7.6163747280231E-4,855662
www.redlinesys.net,1.1234605574661086E-4,214551
firewall.happytohell.com,1.1458715510221076E-4,217566
mugspade.ru,5.87327896475632E-5,128933
mugspade.ru,5.93536577428075E-5,130034
firewall.happytohell.com,6.187569748062813E-4,741946
