Nov 10, 2016 5:19:48 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 10, 2016 5:19:48 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 10, 2016 5:19:48 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 10, 2016 5:19:48 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 26 ms. row count = 105
www.dnswatch.info,6.510336074691011E-7,451
trapbath.ru,1.6899323395617194E-6,4156
trapbath.ru,1.6899323395666254E-6,4157
trapbath.ru,1.6899323395666254E-6,4158
trapbath.ru,1.6899323396287062E-6,4159
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.9969664660837587E-6,5447
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.9969664660837587E-6,5448
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.9969664660837587E-6,5449
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.9969664660837587E-6,5450
trapbath.ru,1.9969664660837587E-6,5451
trapbath.ru,1.9969664660837587E-6,5452
trapbath.ru,1.9969664660837587E-6,5453
sgb-sy.com,1.9969664660837587E-6,5454
sgb-sy.com,1.9969664660837587E-6,5455
sgb-sy.com,1.9969664660837587E-6,5456
sgb-sy.com,1.9969664660837587E-6,5457
telecrop.com,1.9969664660837587E-6,5458
telecrop.com,1.9969664660837587E-6,5459
telecrop.com,1.9969664660837587E-6,5460
telecrop.com,1.9969664660837587E-6,5461
nginx,1.9969664660837587E-6,5462
nginx,1.9969664660837587E-6,5463
www.download.windowsupdate.com,1.9969664660837587E-6,5464
www.download.windowsupdate.com,1.9969664660837587E-6,5465
www.download.windowsupdate.com,1.9969664660837587E-6,5466
www.download.windowsupdate.com,1.9969664660837587E-6,5467
www.download.windowsupdate.com,1.9969664660837587E-6,5468
64.235.43.131,2.000036275644747E-6,5481
64.235.43.131,2.009245704327468E-6,5514
vcvcvcvc.dyndns.org ,2.116641384881475E-6,5986
vcvcvcvc.dyndns.org ,2.116641384881475E-6,5987
vcvcvcvc.dyndns.org ,2.116641384881475E-6,5988
61.178.77.169,2.3821146727761624E-6,7076
rwyngtbvunfpk.org\r\n,2.790010949741065E-6,8723
rwyngtbvunfpk.org\r\n,2.790010949741065E-6,8724
rwyngtbvunfpk.org\r\n,2.790010949741065E-6,8725
takeinfo.ru\r\n,2.790010949741065E-6,8726
dgyqimolcqm.cm\r\n,2.790010949741065E-6,8727
dgyqimolcqm.cm\r\n,2.790010949741065E-6,8728
dgyqimolcqm.cm\r\n,2.790010949741065E-6,8729
dgyqimolcqm.cm\r\n,2.790010949741065E-6,8730
nginx/0.7.67\r\n,2.7937394927908274E-6,8740
nginx/0.7.67\r\n,2.7974680358408882E-6,8752
61.178.77.169,2.893220993365457E-6,9112
61.178.77.170,2.893220993365457E-6,9113
trapbath.ru,3.3798646789208277E-6,11009
trapbath.ru,3.379864679054801E-6,11010
vcvcvcvc.dyndns.org ,3.3888547523121546E-6,11058
vcvcvcvc.dyndns.org ,3.3888547523121546E-6,11059
146.185.213.35,3.596508330568143E-6,11878
trapbath.ru,3.993932932327488E-6,13398
trapbath.ru,3.993932932327488E-6,13399
64.235.43.131,3.993932932327488E-6,13400
64.235.43.131,3.993932932327488E-6,13401
sgb-sy.com,3.993932932327488E-6,13402
sgb-sy.com,3.993932932327488E-6,13403
telecrop.com,3.993932932327488E-6,13404
telecrop.com,3.993932932327488E-6,13405
nginx,3.993932932327488E-6,13406
nginx,3.993932932327488E-6,13407
64.235.43.131,3.997002741888476E-6,13420
64.235.43.131,3.997002741888476E-6,13421
rwyngtbvunfpk.org\r\n,5.58002189970563E-6,19415
rwyngtbvunfpk.org\r\n,5.58002189970563E-6,19416
64.235.43.131,5.58002189970563E-6,19417
64.235.43.131,5.58002189970563E-6,19418
64.235.43.131,5.58002189970563E-6,19419
takeinfo.ru\r\n,5.58002189970563E-6,19420
takeinfo.ru\r\n,5.58002189970563E-6,19421
takeinfo.ru\r\n,5.58002189970563E-6,19422
takeinfo.ru\r\n,5.58002189970563E-6,19423
nginx/0.7.67\r\n,5.58002189970563E-6,19424
nginx,5.990899398442328E-6,21011
nginx,5.990899398442328E-6,21012
nginx,5.990899398442328E-6,21013
nginx,5.990899398442328E-6,21014
nginx,5.990899398442328E-6,21015
nginx,5.990899398442328E-6,21016
vcvcvcvc.dyndns.org ,6.777709504895778E-6,23561
vcvcvcvc.dyndns.org ,6.777709504895778E-6,23562
vcvcvcvc.dyndns.org ,6.777709504895778E-6,23563
vcvcvcvc.dyndns.org ,6.777709504895778E-6,23564
64.235.43.131,1.1163772341792034E-5,37293
64.235.43.131,1.1163772341792034E-5,37294
nginx/0.7.67\r\n,1.1163772341792034E-5,37295
nginx/0.7.67\r\n,1.1163772341792034E-5,37296
146.185.213.35,1.29786658621766E-5,42396
146.185.213.35,2.2038425849344318E-5,67490
mugspade.ru,2.602744040003495E-5,77693
www.dnswatch.info,3.0625991411738816E-5,88351
mugspade.ru,9.646447290491757E-5,230204
firewall.happytohell.com,2.5740837964165317E-4,468193
firewall.happytohell.com,2.7758963549549554E-4,495565
firewall.happytohell.com,4.550419843609449E-4,709175
www.redlinesys.net,3.902193162532354E-5,108320
www.dnswatch.info,4.065743168223217E-5,112183
omegaartworld.com,4.461368977360876E-5,120484
mugspade.ru,5.1617308461359087E-5,135873
firewall.happytohell.com,1.596051017391941E-4,330219
firewall.happytohell.com,1.8561773031039057E-4,368820
omegaartworld.com,3.857552573539121E-4,626329
www.redlinesys.net,4.072736933702068E-4,654723
www.redlinesys.net,4.13565127199602E-4,661578
omegaartworld.com,4.1356512721488193E-4,661579
firewall.happytohell.com,2.380073964992413E-4,443956
