Nov 10, 2016 3:18:15 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 10, 2016 3:18:15 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 10, 2016 3:18:15 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 10, 2016 3:18:15 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 15 ms. row count = 105
firewall.happytohell.com,2.2339629177635397E-4,653576
omegaartworld.com,1.4874983271925878E-4,485283
www.redlinesys.net,1.4874983271925878E-4,485284
vcvcvcvc.dyndns.org ,3.484800079565212E-7,742
61.178.77.169,4.123344435400782E-7,1123
61.178.77.170,4.123344435400782E-7,1124
vcvcvcvc.dyndns.org ,4.618775733252126E-7,1748
vcvcvcvc.dyndns.org ,4.618775733252126E-7,1749
vcvcvcvc.dyndns.org ,4.618775733252126E-7,1750
vcvcvcvc.dyndns.org ,4.6225382733297973E-7,1758
www.dnswatch.info,4.7202394684349E-7,1846
rwyngtbvunfpk.org\r\n,5.000779238433683E-7,2351
rwyngtbvunfpk.org\r\n,5.000779238433683E-7,2352
rwyngtbvunfpk.org\r\n,5.000779238433683E-7,2353
takeinfo.ru\r\n,5.000779238433683E-7,2354
dgyqimolcqm.cm\r\n,5.000779238433683E-7,2355
dgyqimolcqm.cm\r\n,5.000779238433683E-7,2356
dgyqimolcqm.cm\r\n,5.000779238433683E-7,2357
dgyqimolcqm.cm\r\n,5.000779238433683E-7,2358
nginx/0.7.67\r\n,5.016233066009191E-7,2380
nginx/0.7.67\r\n,5.031686890091573E-7,2416
trapbath.ru,6.02226043414657E-7,3160
trapbath.ru,6.02226043414657E-7,3161
trapbath.ru,6.02226043414657E-7,3162
trapbath.ru,6.02226043414657E-7,3163
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,6.270262970571317E-7,3371
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,6.270262970571317E-7,3372
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,6.270262970571317E-7,3373
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,6.270262970571317E-7,3374
trapbath.ru,6.270262970571317E-7,3375
trapbath.ru,6.270262970571317E-7,3376
trapbath.ru,6.270262970571317E-7,3377
sgb-sy.com,6.270262970571317E-7,3378
sgb-sy.com,6.270262970571317E-7,3379
sgb-sy.com,6.270262970571317E-7,3380
sgb-sy.com,6.270262970571317E-7,3381
telecrop.com,6.270262970571317E-7,3382
telecrop.com,6.270262970571317E-7,3383
telecrop.com,6.270262970571317E-7,3384
telecrop.com,6.270262970571317E-7,3385
nginx,6.270262970571317E-7,3386
nginx,6.270262970571317E-7,3387
www.download.windowsupdate.com,6.270262970571317E-7,3388
www.download.windowsupdate.com,6.270262970571317E-7,3389
www.download.windowsupdate.com,6.270262970571317E-7,3390
www.download.windowsupdate.com,6.270262970571317E-7,3391
www.download.windowsupdate.com,6.270262970571317E-7,3392
64.235.43.131,6.277372863621367E-7,3405
64.235.43.131,6.298702510199712E-7,3449
61.178.77.169,6.563055731414855E-7,3718
vcvcvcvc.dyndns.org ,6.969600159409592E-7,3964
vcvcvcvc.dyndns.org ,6.969600159409592E-7,3965
www.dnswatch.info,7.101852642070428E-7,4049
146.185.213.35,7.773223212401061E-7,4493
vcvcvcvc.dyndns.org ,9.245076547029908E-7,5685
vcvcvcvc.dyndns.org ,9.245076547029908E-7,5686
rwyngtbvunfpk.org\r\n,1.0001558477267979E-6,6471
rwyngtbvunfpk.org\r\n,1.0001558477267979E-6,6472
64.235.43.131,1.0001558477267979E-6,6473
64.235.43.131,1.0001558477267979E-6,6474
64.235.43.131,1.0001558477267979E-6,6475
takeinfo.ru\r\n,1.0001558477267979E-6,6476
takeinfo.ru\r\n,1.0001558477267979E-6,6477
