Nov 10, 2016 7:37:54 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 10, 2016 7:37:54 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 10, 2016 7:37:54 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 10, 2016 7:37:54 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 16 ms. row count = 105
146.185.213.35,7.43080001573095E-5,124009
www.redlinesys.net,8.457612796755972E-5,138269
www.redlinesys.net,8.888253485848813E-5,143638
146.185.213.35,9.104523598633135E-5,146280
firewall.happytohell.com,2.9770142186228684E-4,359476
www.redlinesys.net,1.7425954238886417E-4,242093
omegaartworld.com,2.327549364637286E-4,300377
omegaartworld.com,4.2284771832185167E-4,466133
firewall.happytohell.com,9.011225359953586E-4,812983
61.178.77.169,1.8100811432347693E-6,1293
61.178.77.170,2.256966726998411E-6,2139
trapbath.ru,2.5843197655654017E-6,2812
trapbath.ru,2.5843197655654017E-6,2813
vcvcvcvc.dyndns.org ,4.34183770468504E-6,7229
vcvcvcvc.dyndns.org ,4.34183770468504E-6,7230
vcvcvcvc.dyndns.org ,4.34183770468504E-6,7231
www.dnswatch.info,4.387116084746243E-6,7350
trapbath.ru,4.4289482442252745E-6,7472
trapbath.ru,4.428987919101966E-6,7473
vcvcvcvc.dyndns.org ,4.664002040676095E-6,8094
vcvcvcvc.dyndns.org ,4.664002041021648E-6,8095
61.178.77.169,4.890835166461138E-6,8719
rwyngtbvunfpk.org\r\n,5.4224060861413395E-6,10153
rwyngtbvunfpk.org\r\n,5.4224060861413395E-6,10154
rwyngtbvunfpk.org\r\n,5.4224060861413395E-6,10155
takeinfo.ru\r\n,5.4224060861413395E-6,10156
dgyqimolcqm.cm\r\n,5.4224060861413395E-6,10157
dgyqimolcqm.cm\r\n,5.4224060861413395E-6,10158
dgyqimolcqm.cm\r\n,5.4224060861413395E-6,10159
dgyqimolcqm.cm\r\n,5.4224060861413395E-6,10160
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.6422779969335484E-6,10727
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.6422779969335484E-6,10728
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.6422779969335484E-6,10729
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,5.6422779969335484E-6,10730
trapbath.ru,5.6422779969335484E-6,10731
trapbath.ru,5.6422779969335484E-6,10732
trapbath.ru,5.6422779969335484E-6,10733
sgb-sy.com,5.6422779969335484E-6,10734
sgb-sy.com,5.6422779969335484E-6,10735
sgb-sy.com,5.6422779969335484E-6,10736
sgb-sy.com,5.6422779969335484E-6,10737
telecrop.com,5.6422779969335484E-6,10738
telecrop.com,5.6422779969335484E-6,10739
telecrop.com,5.6422779969335484E-6,10740
telecrop.com,5.6422779969335484E-6,10741
nginx,5.6422779969335484E-6,10742
nginx,5.6422779969335484E-6,10743
www.download.windowsupdate.com,5.6422779969335484E-6,10744
www.download.windowsupdate.com,5.6422779969335484E-6,10745
www.download.windowsupdate.com,5.6422779969335484E-6,10746
www.download.windowsupdate.com,5.6422779969335484E-6,10747
www.download.windowsupdate.com,5.6422779969335484E-6,10748
trapbath.ru,8.857896488866249E-6,18372
trapbath.ru,8.85797583777062E-6,18373
vcvcvcvc.dyndns.org ,9.328004081725825E-6,19428
vcvcvcvc.dyndns.org ,9.328004081725825E-6,19429
vcvcvcvc.dyndns.org ,9.328004082416931E-6,19430
vcvcvcvc.dyndns.org ,9.328004082416931E-6,19431
146.185.213.35,1.0816110649879878E-5,22778
rwyngtbvunfpk.org\r\n,1.0844812171632588E-5,22834
rwyngtbvunfpk.org\r\n,1.0844812171632588E-5,22835
64.235.43.131,1.0844812171632588E-5,22836
64.235.43.131,1.0844812171632588E-5,22837
64.235.43.131,1.0844812171632588E-5,22838
takeinfo.ru\r\n,1.0844812171632588E-5,22839
takeinfo.ru\r\n,1.0844812171632588E-5,22840
takeinfo.ru\r\n,1.0844812171632588E-5,22841
takeinfo.ru\r\n,1.0844812171632588E-5,22842
nginx/0.7.67\r\n,1.0844812171632588E-5,22843
nginx/0.7.67\r\n,1.0844812171632588E-5,22844
trapbath.ru,1.1284555993190646E-5,23836
trapbath.ru,1.1284555993190646E-5,23837
64.235.43.131,1.1284555993190646E-5,23838
64.235.43.131,1.1284555993190646E-5,23839
64.235.43.131,1.1284555993190646E-5,23840
sgb-sy.com,1.1284555993190646E-5,23841
sgb-sy.com,1.1284555993190646E-5,23842
telecrop.com,1.1284555993190646E-5,23843
telecrop.com,1.1284555993190646E-5,23844
