Nov 10, 2016 5:41:35 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 10, 2016 5:41:35 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 10, 2016 5:41:35 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 10, 2016 5:41:35 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 27 ms. row count = 105
mugspade.ru,5.810381336967033E-5,155126
www.redlinesys.net,1.054299851484321E-4,249780
omegaartworld.com,1.0542998515383231E-4,249781
omegaartworld.com,2.3427366008244854E-4,445785
www.redlinesys.net,2.425152496956935E-4,456858
mugspade.ru,2.733949169841282E-5,82643
www.dnswatch.info,2.7428388565433304E-5,82842
trapbath.ru,1.0274904357092252E-6,1272
trapbath.ru,1.0274904357092252E-6,1273
trapbath.ru,1.027490435732468E-6,1274
trapbath.ru,1.027490435732468E-6,1275
vcvcvcvc.dyndns.org ,1.9031574227995391E-6,4799
61.178.77.169,2.024738957624313E-6,5316
61.178.77.170,2.024738957624313E-6,5317
trapbath.ru,2.0549808712952613E-6,5430
trapbath.ru,2.0549808712952613E-6,5431
vcvcvcvc.dyndns.org ,2.5264420098031815E-6,7611
61.178.77.169,2.642365722885353E-6,8102
rwyngtbvunfpk.org\r\n,2.670117108939802E-6,8216
rwyngtbvunfpk.org\r\n,2.670117108939802E-6,8217
rwyngtbvunfpk.org\r\n,2.670117108939802E-6,8218
takeinfo.ru\r\n,2.670117108939802E-6,8219
dgyqimolcqm.cm\r\n,2.670117108939802E-6,8220
dgyqimolcqm.cm\r\n,2.670117108939802E-6,8221
dgyqimolcqm.cm\r\n,2.670117108939802E-6,8222
dgyqimolcqm.cm\r\n,2.670117108939802E-6,8223
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.7086820647895734E-6,8384
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.7086820647895734E-6,8385
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.7086820647895734E-6,8386
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.7086820647895734E-6,8387
trapbath.ru,2.7086820647895734E-6,8388
trapbath.ru,2.7086820647895734E-6,8389
trapbath.ru,2.7086820647895734E-6,8390
sgb-sy.com,2.7086820647895734E-6,8391
sgb-sy.com,2.7086820647895734E-6,8392
sgb-sy.com,2.7086820647895734E-6,8393
sgb-sy.com,2.7086820647895734E-6,8394
telecrop.com,2.7086820647895734E-6,8395
telecrop.com,2.7086820647895734E-6,8396
telecrop.com,2.7086820647895734E-6,8397
telecrop.com,2.7086820647895734E-6,8398
nginx,2.7086820647895734E-6,8399
nginx,2.7086820647895734E-6,8400
www.download.windowsupdate.com,2.7086820647895734E-6,8401
www.download.windowsupdate.com,2.7086820647895734E-6,8402
www.download.windowsupdate.com,2.7086820647895734E-6,8403
www.download.windowsupdate.com,2.7086820647895734E-6,8404
www.download.windowsupdate.com,2.7086820647895734E-6,8405
vcvcvcvc.dyndns.org ,2.8205218960393715E-6,8867
vcvcvcvc.dyndns.org ,2.8205218960393715E-6,8868
vcvcvcvc.dyndns.org ,2.8205218960393715E-6,8869
146.185.213.35,2.8314966325447065E-6,8909
www.dnswatch.info,2.8486637277842447E-6,8973
vcvcvcvc.dyndns.org ,3.80631484575153E-6,12739
vcvcvcvc.dyndns.org ,3.80631484575153E-6,12740
www.dnswatch.info,4.348864147492754E-6,14842
vcvcvcvc.dyndns.org ,5.052884019808757E-6,17611
vcvcvcvc.dyndns.org ,5.052884019808757E-6,17612
rwyngtbvunfpk.org\r\n,5.340234218093508E-6,18621
rwyngtbvunfpk.org\r\n,5.340234218093508E-6,18622
64.235.43.131,5.340234218093508E-6,18623
64.235.43.131,5.340234218093508E-6,18624
64.235.43.131,5.340234218093508E-6,18625
takeinfo.ru\r\n,5.340234218093508E-6,18626
takeinfo.ru\r\n,5.340234218093508E-6,18627
takeinfo.ru\r\n,5.340234218093508E-6,18628
takeinfo.ru\r\n,5.340234218093508E-6,18629
nginx/0.7.67\r\n,5.340234218093508E-6,18630
nginx/0.7.67\r\n,5.340234218093508E-6,18631
trapbath.ru,5.41736412979614E-6,18905
trapbath.ru,5.41736412979614E-6,18906
64.235.43.131,5.41736412979614E-6,18907
64.235.43.131,5.41736412979614E-6,18908
64.235.43.131,5.41736412979614E-6,18909
sgb-sy.com,5.41736412979614E-6,18910
sgb-sy.com,5.41736412979614E-6,18911
telecrop.com,5.41736412979614E-6,18912
telecrop.com,5.41736412979614E-6,18913
nginx,5.41736412979614E-6,18914
nginx,5.41736412979614E-6,18915
nginx/0.7.67\r\n,8.010351327074859E-6,27864
64.235.43.131,8.126046194627863E-6,28206
64.235.43.131,8.126046194627863E-6,28207
nginx,8.126046194627863E-6,28208
nginx,8.126046194627863E-6,28209
nginx,8.126046194627863E-6,28210
nginx,8.126046194627863E-6,28211
nginx,8.126046194627863E-6,28212
nginx,8.126046194627863E-6,28213
mugspade.ru,1.1719702982642566E-5,39701
64.235.43.131,1.3350585545578818E-5,44537
64.235.43.131,1.3350585545578818E-5,44538
nginx/0.7.67\r\n,1.3350585545578818E-5,44539
nginx/0.7.67\r\n,1.3350585545578818E-5,44540
64.235.43.131,1.3543410324840383E-5,45216
146.185.213.35,1.459980469462796E-5,48305
firewall.happytohell.com,4.2617061812411886E-4,684260
omegaartworld.com,1.9941420101291226E-4,398574
