Nov 10, 2016 3:33:27 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 10, 2016 3:33:27 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 10, 2016 3:33:27 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 10, 2016 3:33:27 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 18 ms. row count = 105
vcvcvcvc.dyndns.org ,3.849674727613804E-7,1388
vcvcvcvc.dyndns.org ,3.849674767107863E-7,1389
61.178.77.170,3.982472764003299E-7,1502
rwyngtbvunfpk.org\r\n,4.0512111554295075E-7,1544
rwyngtbvunfpk.org\r\n,4.0512111554295075E-7,1545
rwyngtbvunfpk.org\r\n,4.0512111554295075E-7,1546
takeinfo.ru\r\n,4.0512111554295075E-7,1547
dgyqimolcqm.cm\r\n,4.0512111554295075E-7,1548
dgyqimolcqm.cm\r\n,4.0512111554295075E-7,1549
dgyqimolcqm.cm\r\n,4.0512111554295075E-7,1550
dgyqimolcqm.cm\r\n,4.0512111554295075E-7,1551
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,4.0697400323515213E-7,1581
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,4.0697400323515213E-7,1582
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,4.0697400323515213E-7,1583
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,4.0697400323515213E-7,1584
trapbath.ru,4.0697400323515213E-7,1585
trapbath.ru,4.0697400323515213E-7,1586
trapbath.ru,4.0697400323515213E-7,1587
sgb-sy.com,4.0697400323515213E-7,1588
sgb-sy.com,4.0697400323515213E-7,1589
sgb-sy.com,4.0697400323515213E-7,1590
sgb-sy.com,4.0697400323515213E-7,1591
telecrop.com,4.0697400323515213E-7,1592
telecrop.com,4.0697400323515213E-7,1593
telecrop.com,4.0697400323515213E-7,1594
telecrop.com,4.0697400323515213E-7,1595
nginx,4.0697400323515213E-7,1596
nginx,4.0697400323515213E-7,1597
www.download.windowsupdate.com,4.0697400323515213E-7,1598
www.download.windowsupdate.com,4.0697400323515213E-7,1599
www.download.windowsupdate.com,4.0697400323515213E-7,1600
www.download.windowsupdate.com,4.0697400323515213E-7,1601
www.download.windowsupdate.com,4.0697400323515213E-7,1602
61.178.77.169,4.2973051715788196E-7,1840
trapbath.ru,4.709822381867398E-7,2203
trapbath.ru,4.7098223823323636E-7,2204
trapbath.ru,4.7098223825183504E-7,2205
trapbath.ru,4.7098223825183504E-7,2206
61.178.77.169,5.926206181636012E-7,3398
vcvcvcvc.dyndns.org ,7.257768164876204E-7,4407
vcvcvcvc.dyndns.org ,7.257768164876204E-7,4408
vcvcvcvc.dyndns.org ,7.257768164876204E-7,4409
www.dnswatch.info,7.303535754100274E-7,4458
vcvcvcvc.dyndns.org ,7.699349454766071E-7,4829
vcvcvcvc.dyndns.org ,7.699349454766071E-7,4830
vcvcvcvc.dyndns.org ,7.69934953375419E-7,4831
vcvcvcvc.dyndns.org ,7.69934953375419E-7,4832
rwyngtbvunfpk.org\r\n,8.102422310373316E-7,5121
rwyngtbvunfpk.org\r\n,8.102422310373316E-7,5122
64.235.43.131,8.102422310373316E-7,5123
64.235.43.131,8.102422310373316E-7,5124
64.235.43.131,8.102422310373316E-7,5125
takeinfo.ru\r\n,8.102422310373316E-7,5126
takeinfo.ru\r\n,8.102422310373316E-7,5127
takeinfo.ru\r\n,8.102422310373316E-7,5128
takeinfo.ru\r\n,8.102422310373316E-7,5129
nginx/0.7.67\r\n,8.102422310373316E-7,5130
nginx/0.7.67\r\n,8.102422310373316E-7,5131
trapbath.ru,8.139480064215122E-7,5160
trapbath.ru,8.139480064215122E-7,5161
64.235.43.131,8.139480064215122E-7,5162
64.235.43.131,8.139480064215122E-7,5163
64.235.43.131,8.139480064215122E-7,5164
sgb-sy.com,8.139480064215122E-7,5165
sgb-sy.com,8.139480064215122E-7,5166
telecrop.com,8.139480064215122E-7,5167
telecrop.com,8.139480064215122E-7,5168
nginx,8.139480064215122E-7,5169
nginx,8.139480064215122E-7,5170
trapbath.ru,9.4196447641121E-7,6081
trapbath.ru,9.419644765042031E-7,6082
146.185.213.35,9.702679277813678E-7,6342
nginx/0.7.67\r\n,1.2153633465460742E-6,8242
64.235.43.131,1.2209220096222998E-6,8297
64.235.43.131,1.2209220096222998E-6,8298
nginx,1.2209220096222998E-6,8299
nginx,1.2209220096222998E-6,8300
nginx,1.2209220096222998E-6,8301
nginx,1.2209220096222998E-6,8302
nginx,1.2209220096222998E-6,8303
nginx,1.2209220096222998E-6,8304
64.235.43.131,2.025605577645681E-6,14057
64.235.43.131,2.025605577645681E-6,14058
nginx/0.7.67\r\n,2.025605577645681E-6,14059
nginx/0.7.67\r\n,2.025605577645681E-6,14060
64.235.43.131,2.034870016106372E-6,14134
www.dnswatch.info,3.5102888292284576E-6,23480
www.dnswatch.info,4.542485574260444E-6,29737
146.185.213.35,7.340494085561496E-6,44284
firewall.happytohell.com,8.452815854649316E-5,333815
firewall.happytohell.com,8.478630217220341E-5,334534
omegaartworld.com,9.513832520518324E-5,361881
firewall.happytohell.com,9.712686520095311E-5,367255
146.185.213.35,1.0381198697739445E-4,385246
