Nov 10, 2016 6:46:26 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 10, 2016 6:46:26 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 10, 2016 6:46:26 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 10, 2016 6:46:26 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 15 ms. row count = 105
trapbath.ru,1.5655184637149602E-6,2365
trapbath.ru,1.5655185139525277E-6,2366
trapbath.ru,1.6652578792273978E-6,2669
trapbath.ru,1.6652578792282071E-6,2670
61.178.77.169,2.1682355710110498E-6,4062
61.178.77.170,2.1682355710110498E-6,4063
vcvcvcvc.dyndns.org ,2.7679204737451216E-6,6081
vcvcvcvc.dyndns.org ,2.767921043988329E-6,6082
vcvcvcvc.dyndns.org ,3.121995648069311E-6,7308
vcvcvcvc.dyndns.org ,3.121995648069311E-6,7309
vcvcvcvc.dyndns.org ,3.121995648069311E-6,7310
trapbath.ru,3.131036907827751E-6,7351
trapbath.ru,3.131036998637913E-6,7352
www.dnswatch.info,3.1559118907802676E-6,7431
61.178.77.169,3.254517187253903E-6,7853
146.185.213.35,5.427782655610773E-6,14625
vcvcvcvc.dyndns.org ,5.5358409471584875E-6,14940
vcvcvcvc.dyndns.org ,5.535840947158756E-6,14941
vcvcvcvc.dyndns.org ,5.535842087642249E-6,14942
vcvcvcvc.dyndns.org ,5.535842087642517E-6,14943
rwyngtbvunfpk.org\r\n,6.082521131202261E-6,16652
rwyngtbvunfpk.org\r\n,6.082521131202261E-6,16653
rwyngtbvunfpk.org\r\n,6.082521131202261E-6,16654
takeinfo.ru\r\n,6.082521131202261E-6,16655
dgyqimolcqm.cm\r\n,6.082521131202261E-6,16656
dgyqimolcqm.cm\r\n,6.082521131202261E-6,16657
