Nov 10, 2016 3:22:13 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 10, 2016 3:22:13 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 10, 2016 3:22:13 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 10, 2016 3:22:13 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 18 ms. row count = 105
trapbath.ru,1.4302811564563355E-7,757
trapbath.ru,2.7243758709765306E-7,1201
trapbath.ru,2.726426217157946E-7,1202
vcvcvcvc.dyndns.org ,3.5773722265431035E-7,1623
vcvcvcvc.dyndns.org ,3.577372234198629E-7,1624
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,3.775790655768375E-7,1819
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,3.775790655768375E-7,1820
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,3.775790655768375E-7,1821
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,3.775790655768375E-7,1822
trapbath.ru,3.775790655768375E-7,1823
trapbath.ru,3.775790655768375E-7,1824
trapbath.ru,3.775790655768375E-7,1825
sgb-sy.com,3.775790655768375E-7,1826
sgb-sy.com,3.775790655768375E-7,1827
sgb-sy.com,3.775790655768375E-7,1828
sgb-sy.com,3.775790655768375E-7,1829
telecrop.com,3.775790655768375E-7,1830
telecrop.com,3.775790655768375E-7,1831
telecrop.com,3.775790655768375E-7,1832
telecrop.com,3.775790655768375E-7,1833
nginx,3.775790655768375E-7,1834
nginx,3.775790655768375E-7,1835
www.download.windowsupdate.com,3.775790655768375E-7,1836
www.download.windowsupdate.com,3.775790655768375E-7,1837
www.download.windowsupdate.com,3.775790655768375E-7,1838
www.download.windowsupdate.com,3.775790655768375E-7,1839
www.download.windowsupdate.com,3.775790655768375E-7,1840
64.235.43.131,3.787636783755008E-7,1877
64.235.43.131,3.8231751511526094E-7,2022
vcvcvcvc.dyndns.org ,5.07236037977502E-7,2776
vcvcvcvc.dyndns.org ,5.07236037977502E-7,2777
vcvcvcvc.dyndns.org ,5.07236037977502E-7,2778
www.dnswatch.info,5.129264385639671E-7,2860
trapbath.ru,5.227884284082354E-7,2987
61.178.77.169,5.712833971776507E-7,3506
61.178.77.169,6.4643993609581E-7,3953
61.178.77.170,6.4643993609581E-7,3954
vcvcvcvc.dyndns.org ,7.154744452657305E-7,4641
vcvcvcvc.dyndns.org ,7.154744452657305E-7,4642
vcvcvcvc.dyndns.org ,7.154744467968356E-7,4643
vcvcvcvc.dyndns.org ,7.154744467968356E-7,4644
trapbath.ru,7.551581311084058E-7,4977
trapbath.ru,7.551581311084058E-7,4978
64.235.43.131,7.551581311084058E-7,4979
64.235.43.131,7.551581311084058E-7,4980
sgb-sy.com,7.551581311084058E-7,4981
sgb-sy.com,7.551581311084058E-7,4982
telecrop.com,7.551581311084058E-7,4983
telecrop.com,7.551581311084058E-7,4984
nginx,7.551581311084058E-7,4985
nginx,7.551581311084058E-7,4986
64.235.43.131,7.563427445093003E-7,5005
64.235.43.131,7.563427445093003E-7,5006
rwyngtbvunfpk.org\r\n,7.908228191727557E-7,5366
rwyngtbvunfpk.org\r\n,7.908228191727557E-7,5367
rwyngtbvunfpk.org\r\n,7.908228191727557E-7,5368
takeinfo.ru\r\n,7.908228191727557E-7,5369
dgyqimolcqm.cm\r\n,7.908228191727557E-7,5370
dgyqimolcqm.cm\r\n,7.908228191727557E-7,5371
dgyqimolcqm.cm\r\n,7.908228191727557E-7,5372
dgyqimolcqm.cm\r\n,7.908228191727557E-7,5373
nginx/0.7.67\r\n,7.918027924296584E-7,5379
nginx/0.7.67\r\n,7.927827626850404E-7,5386
trapbath.ru,8.391790826595399E-7,5671
trapbath.ru,1.0455751431164896E-6,7114
nginx,1.1327371966533623E-6,7897
nginx,1.1327371966533623E-6,7898
nginx,1.1327371966533623E-6,7899
nginx,1.1327371966533623E-6,7900
nginx,1.1327371966533623E-6,7901
nginx,1.1327371966533623E-6,7902
rwyngtbvunfpk.org\r\n,1.5816456384088617E-6,10984
rwyngtbvunfpk.org\r\n,1.5816456384088617E-6,10985
64.235.43.131,1.5816456384088617E-6,10986
64.235.43.131,1.5816456384088617E-6,10987
