Nov 10, 2016 4:48:34 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 10, 2016 4:48:34 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 10, 2016 4:48:34 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 10, 2016 4:48:34 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 16 ms. row count = 105
omegaartworld.com,9.22818128184388E-5,230422
www.redlinesys.net,1.0447210037794241E-4,253586
146.185.213.35,1.90849078652791E-4,400155
www.redlinesys.net,1.9240220687786216E-4,402116
www.dnswatch.info,2.2772558427310793E-5,76279
www.dnswatch.info,2.7621260621197785E-5,89577
mugspade.ru,3.1538802795888524E-5,99615
firewall.happytohell.com,7.47925641847007E-5,195688
mugspade.ru,5.088215724235165E-5,144798
mugspade.ru,5.0974600503015915E-5,144990
firewall.happytohell.com,1.2775791612362305E-4,295134
trapbath.ru,8.778260501016335E-7,1143
trapbath.ru,8.799967948354799E-7,1155
trapbath.ru,8.799968018705959E-7,1156
trapbath.ru,1.1620961561899938E-6,2540
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.2896972901287666E-6,3165
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.2896972901287666E-6,3166
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.2896972901287666E-6,3167
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.2896972901287666E-6,3168
trapbath.ru,1.2896972901287666E-6,3169
trapbath.ru,1.2896972901287666E-6,3170
trapbath.ru,1.2896972901287666E-6,3171
sgb-sy.com,1.2896972901287666E-6,3172
sgb-sy.com,1.2896972901287666E-6,3173
sgb-sy.com,1.2896972901287666E-6,3174
sgb-sy.com,1.2896972901287666E-6,3175
telecrop.com,1.2896972901287666E-6,3176
telecrop.com,1.2896972901287666E-6,3177
telecrop.com,1.2896972901287666E-6,3178
telecrop.com,1.2896972901287666E-6,3179
nginx,1.2896972901287666E-6,3180
nginx,1.2896972901287666E-6,3181
www.download.windowsupdate.com,1.2896972901287666E-6,3182
www.download.windowsupdate.com,1.2896972901287666E-6,3183
www.download.windowsupdate.com,1.2896972901287666E-6,3184
www.download.windowsupdate.com,1.2896972901287666E-6,3185
www.download.windowsupdate.com,1.2896972901287666E-6,3186
64.235.43.131,1.2931180716400657E-6,3197
64.235.43.131,1.303380416173691E-6,3266
vcvcvcvc.dyndns.org ,1.3597937055942303E-6,3540
vcvcvcvc.dyndns.org ,1.3597937055942303E-6,3541
vcvcvcvc.dyndns.org ,1.3597937055942303E-6,3542
www.dnswatch.info,1.3930908839388254E-6,3692
61.178.77.169,1.7025824209405422E-6,5097
trapbath.ru,1.7556521177940585E-6,5333
61.178.77.169,1.985017119594336E-6,6508
61.178.77.170,1.985017119594336E-6,6509
trapbath.ru,2.324192312473081E-6,8104
146.185.213.35,2.3584673866673044E-6,8262
vcvcvcvc.dyndns.org ,2.3690083326515228E-6,8312
vcvcvcvc.dyndns.org ,2.3690083326595115E-6,8313
trapbath.ru,2.579394580360847E-6,9269
trapbath.ru,2.579394580360847E-6,9270
64.235.43.131,2.579394580360847E-6,9271
64.235.43.131,2.579394580360847E-6,9272
sgb-sy.com,2.579394580360847E-6,9273
sgb-sy.com,2.579394580360847E-6,9274
telecrop.com,2.579394580360847E-6,9275
telecrop.com,2.579394580360847E-6,9276
nginx,2.579394580360847E-6,9277
nginx,2.579394580360847E-6,9278
64.235.43.131,2.5828153618721464E-6,9295
64.235.43.131,2.5828153618721464E-6,9296
rwyngtbvunfpk.org\r\n,3.1155315658812494E-6,11627
rwyngtbvunfpk.org\r\n,3.1155315658812494E-6,11628
rwyngtbvunfpk.org\r\n,3.1155315658812494E-6,11629
takeinfo.ru\r\n,3.1155315658812494E-6,11630
dgyqimolcqm.cm\r\n,3.1155315658812494E-6,11631
dgyqimolcqm.cm\r\n,3.1155315658812494E-6,11632
dgyqimolcqm.cm\r\n,3.1155315658812494E-6,11633
dgyqimolcqm.cm\r\n,3.1155315658812494E-6,11634
nginx/0.7.67\r\n,3.11795306156844E-6,11646
nginx/0.7.67\r\n,3.1203745572558244E-6,11660
nginx,3.869091870509687E-6,14802
nginx,3.869091870509687E-6,14803
nginx,3.869091870509687E-6,14804
nginx,3.869091870509687E-6,14805
nginx,3.869091870509687E-6,14806
nginx,3.869091870509687E-6,14807
vcvcvcvc.dyndns.org ,4.738016665492819E-6,18311
vcvcvcvc.dyndns.org ,4.738016665492819E-6,18312
vcvcvcvc.dyndns.org ,4.738016665508797E-6,18313
vcvcvcvc.dyndns.org ,4.738016665508797E-6,18314
rwyngtbvunfpk.org\r\n,6.231063132012084E-6,23984
