Nov 10, 2016 7:54:07 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 10, 2016 7:54:07 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 10, 2016 7:54:07 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 10, 2016 7:54:07 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 18 ms. row count = 105
rwyngtbvunfpk.org\r\n,3.669851889220581E-5,68214
rwyngtbvunfpk.org\r\n,3.669851889220581E-5,68215
64.235.43.131,3.669851889220581E-5,68216
64.235.43.131,3.669851889220581E-5,68217
64.235.43.131,3.669851889220581E-5,68218
takeinfo.ru\r\n,3.669851889220581E-5,68219
takeinfo.ru\r\n,3.669851889220581E-5,68220
takeinfo.ru\r\n,3.669851889220581E-5,68221
takeinfo.ru\r\n,3.669851889220581E-5,68222
nginx/0.7.67\r\n,3.669851889220581E-5,68223
mugspade.ru,3.7102915527525073E-5,68872
mugspade.ru,3.927349399083758E-5,72295
www.dnswatch.info,4.834191622364712E-5,86198
mugspade.ru,1.3013806068159855E-4,189744
146.185.213.35,1.7158640250590986E-4,234273
firewall.happytohell.com,1.8814144246227647E-4,250518
firewall.happytohell.com,2.612990646405711E-4,320710
www.redlinesys.net,7.742641565341485E-4,718287
firewall.happytohell.com,0.0014329768692929448,1115414
vcvcvcvc.dyndns.org ,1.1523106088918088E-7,26
vcvcvcvc.dyndns.org ,1.1636362923837933E-7,27
vcvcvcvc.dyndns.org ,1.1708552719271099E-7,28
www.dnswatch.info,6.568613160531268E-7,81
trapbath.ru,2.5760551693686903E-6,2670
trapbath.ru,4.524133277348472E-6,7617
vcvcvcvc.dyndns.org ,5.335924017858655E-6,9622
vcvcvcvc.dyndns.org ,5.335924018155465E-6,9623
trapbath.ru,5.54262204147795E-6,10130
trapbath.ru,5.54262204147795E-6,10131
trapbath.ru,5.579370733199867E-6,10242
61.178.77.169,6.1128610394755465E-6,11596
61.178.77.169,6.1128610394755465E-6,11597
61.178.77.170,6.1128610394755465E-6,11598
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,7.391273110550338E-6,14674
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,7.391273110550338E-6,14675
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,7.391273110550338E-6,14676
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,7.391273110550338E-6,14677
trapbath.ru,7.391273110550338E-6,14678
trapbath.ru,7.391273110550338E-6,14679
trapbath.ru,7.391273110550338E-6,14680
sgb-sy.com,7.391273110550338E-6,14681
sgb-sy.com,7.391273110550338E-6,14682
sgb-sy.com,7.391273110550338E-6,14683
sgb-sy.com,7.391273110550338E-6,14684
telecrop.com,7.391273110550338E-6,14685
telecrop.com,7.391273110550338E-6,14686
telecrop.com,7.391273110550338E-6,14687
telecrop.com,7.391273110550338E-6,14688
nginx,7.391273110550338E-6,14689
nginx,7.391273110550338E-6,14690
www.download.windowsupdate.com,7.391273110550338E-6,14691
www.download.windowsupdate.com,7.391273110550338E-6,14692
www.download.windowsupdate.com,7.391273110550338E-6,14693
www.download.windowsupdate.com,7.391273110550338E-6,14694
www.download.windowsupdate.com,7.391273110550338E-6,14695
64.235.43.131,7.413674210973689E-6,14754
64.235.43.131,7.480877510772664E-6,14907
146.185.213.35,9.412046973668523E-6,19297
vcvcvcvc.dyndns.org ,1.0671848035077589E-5,21966
vcvcvcvc.dyndns.org ,1.0671848035077589E-5,21967
vcvcvcvc.dyndns.org ,1.0671848035671208E-5,21968
vcvcvcvc.dyndns.org ,1.0671848035671208E-5,21969
trapbath.ru,1.1157136970817733E-5,23013
omegaartworld.com,1.1313630747505497E-5,23339
trapbath.ru,1.4782546221692795E-5,30265
trapbath.ru,1.4782546221692795E-5,30266
64.235.43.131,1.4782546221692795E-5,30267
64.235.43.131,1.4782546221692795E-5,30268
sgb-sy.com,1.4782546221692795E-5,30269
sgb-sy.com,1.4782546221692795E-5,30270
telecrop.com,1.4782546221692795E-5,30271
telecrop.com,1.4782546221692795E-5,30272
nginx,1.4782546221692795E-5,30273
nginx,1.4782546221692795E-5,30274
64.235.43.131,1.4804947322116145E-5,30313
64.235.43.131,1.4804947322116145E-5,30314
rwyngtbvunfpk.org\r\n,1.8349259447202878E-5,37074
rwyngtbvunfpk.org\r\n,1.8349259447202878E-5,37075
rwyngtbvunfpk.org\r\n,1.8349259447202878E-5,37076
takeinfo.ru\r\n,1.8349259447202878E-5,37077
dgyqimolcqm.cm\r\n,1.8349259447202878E-5,37078
dgyqimolcqm.cm\r\n,1.8349259447202878E-5,37079
dgyqimolcqm.cm\r\n,1.8349259447202878E-5,37080
dgyqimolcqm.cm\r\n,1.8349259447202878E-5,37081
nginx/0.7.67\r\n,1.836382705810283E-5,37108
nginx/0.7.67\r\n,1.837839466900395E-5,37133
nginx,2.2173819332358147E-5,44067
nginx,2.2173819332358147E-5,44068
nginx,2.2173819332358147E-5,44069
nginx,2.2173819332358147E-5,44070
nginx,2.2173819332358147E-5,44071
nginx,2.2173819332358147E-5,44072
www.redlinesys.net,2.731419559818461E-5,52797
omegaartworld.com,6.383302826674677E-5,108287
www.dnswatch.info,7.013087986200398E-5,116663
64.235.43.131,7.341160540558828E-5,121017
64.235.43.131,7.341160540558828E-5,121018
nginx/0.7.67\r\n,7.341160540558828E-5,121019
nginx/0.7.67\r\n,7.341160540558828E-5,121020
146.185.213.35,8.749842769197024E-5,138871
firewall.happytohell.com,3.367751655397858E-4,388970
firewall.happytohell.com,6.711173673784656E-4,645071
firewall.happytohell.com,9.626937714183119E-4,844545
omegaartworld.com,5.718810223489477E-4,576257
www.redlinesys.net,1.211819866142053E-4,179999
