Nov 10, 2016 5:52:36 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 10, 2016 5:52:36 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 10, 2016 5:52:36 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 10, 2016 5:52:36 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 20 ms. row count = 105
trapbath.ru,8.97795767643012E-7,849
trapbath.ru,1.1222208141860463E-6,1634
trapbath.ru,1.1222208141860463E-6,1635
trapbath.ru,1.122220814338654E-6,1636
61.178.77.169,1.7133216657785377E-6,4160
61.178.77.170,1.7133216657785377E-6,4161
trapbath.ru,1.7955915353569457E-6,4470
vcvcvcvc.dyndns.org ,1.9207047617816855E-6,4992
vcvcvcvc.dyndns.org ,2.1204973193208323E-6,5883
vcvcvcvc.dyndns.org ,2.120497319321572E-6,5884
vcvcvcvc.dyndns.org ,2.120497319321823E-6,5885
www.dnswatch.info,2.1452055974774023E-6,5980
trapbath.ru,2.2444416287672097E-6,6412
vcvcvcvc.dyndns.org ,2.551754598100358E-6,7730
rwyngtbvunfpk.org\r\n,2.5767173071616287E-6,7850
rwyngtbvunfpk.org\r\n,2.5767173071616287E-6,7851
rwyngtbvunfpk.org\r\n,2.5767173071616287E-6,7852
takeinfo.ru\r\n,2.5767173071616287E-6,7853
dgyqimolcqm.cm\r\n,2.5767173071616287E-6,7854
dgyqimolcqm.cm\r\n,2.5767173071616287E-6,7855
dgyqimolcqm.cm\r\n,2.5767173071616287E-6,7856
dgyqimolcqm.cm\r\n,2.5767173071616287E-6,7857
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.6140462338184424E-6,8031
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.6140462338184424E-6,8032
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.6140462338184424E-6,8033
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,2.6140462338184424E-6,8034
trapbath.ru,2.6140462338184424E-6,8035
trapbath.ru,2.6140462338184424E-6,8036
trapbath.ru,2.6140462338184424E-6,8037
sgb-sy.com,2.6140462338184424E-6,8038
sgb-sy.com,2.6140462338184424E-6,8039
sgb-sy.com,2.6140462338184424E-6,8040
sgb-sy.com,2.6140462338184424E-6,8041
telecrop.com,2.6140462338184424E-6,8042
telecrop.com,2.6140462338184424E-6,8043
telecrop.com,2.6140462338184424E-6,8044
telecrop.com,2.6140462338184424E-6,8045
nginx,2.6140462338184424E-6,8046
nginx,2.6140462338184424E-6,8047
www.download.windowsupdate.com,2.6140462338184424E-6,8048
www.download.windowsupdate.com,2.6140462338184424E-6,8049
www.download.windowsupdate.com,2.6140462338184424E-6,8050
www.download.windowsupdate.com,2.6140462338184424E-6,8051
www.download.windowsupdate.com,2.6140462338184424E-6,8052
61.178.77.169,3.0216490149798517E-6,9847
vcvcvcvc.dyndns.org ,3.841409523632164E-6,12979
vcvcvcvc.dyndns.org ,3.841409523632164E-6,12980
www.dnswatch.info,3.9454768151766776E-6,13366
146.185.213.35,4.287030195513526E-6,14618
vcvcvcvc.dyndns.org ,5.103509195894778E-6,17570
vcvcvcvc.dyndns.org ,5.103509195894778E-6,17571
rwyngtbvunfpk.org\r\n,5.153434614014336E-6,17782
rwyngtbvunfpk.org\r\n,5.153434614014336E-6,17783
64.235.43.131,5.153434614014336E-6,17784
64.235.43.131,5.153434614014336E-6,17785
64.235.43.131,5.153434614014336E-6,17786
takeinfo.ru\r\n,5.153434614014336E-6,17787
takeinfo.ru\r\n,5.153434614014336E-6,17788
takeinfo.ru\r\n,5.153434614014336E-6,17789
takeinfo.ru\r\n,5.153434614014336E-6,17790
nginx/0.7.67\r\n,5.153434614014336E-6,17791
nginx/0.7.67\r\n,5.153434614014336E-6,17792
trapbath.ru,5.228092467323488E-6,18096
trapbath.ru,5.228092467323488E-6,18097
64.235.43.131,5.228092467323488E-6,18098
64.235.43.131,5.228092467323488E-6,18099
64.235.43.131,5.228092467323488E-6,18100
sgb-sy.com,5.228092467323488E-6,18101
sgb-sy.com,5.228092467323488E-6,18102
telecrop.com,5.228092467323488E-6,18103
telecrop.com,5.228092467323488E-6,18104
nginx,5.228092467323488E-6,18105
nginx,5.228092467323488E-6,18106
www.dnswatch.info,6.604220077765916E-6,22987
nginx/0.7.67\r\n,7.730151921731404E-6,26897
64.235.43.131,7.842138701705415E-6,27256
64.235.43.131,7.842138701705415E-6,27257
nginx,7.842138701705415E-6,27258
nginx,7.842138701705415E-6,27259
nginx,7.842138701705415E-6,27260
nginx,7.842138701705415E-6,27261
nginx,7.842138701705415E-6,27262
nginx,7.842138701705415E-6,27263
64.235.43.131,1.2883586535368819E-5,42497
64.235.43.131,1.2883586535368819E-5,42498
nginx/0.7.67\r\n,1.2883586535368819E-5,42499
nginx/0.7.67\r\n,1.2883586535368819E-5,42500
64.235.43.131,1.3070231168646522E-5,43048
146.185.213.35,1.3920518312445102E-5,45495
omegaartworld.com,1.4929068756866005E-5,48320
omegaartworld.com,2.0350833032374622E-4,401057
mugspade.ru,2.2803660300874777E-5,69960
146.185.213.35,3.3517824330144995E-5,96721
www.redlinesys.net,1.0668489682813997E-4,249945
firewall.happytohell.com,1.080837606155518E-4,252642
firewall.happytohell.com,1.2037768446092095E-4,272868
www.redlinesys.net,2.481832456264067E-4,463235
firewall.happytohell.com,3.69445314794292E-4,611567
firewall.happytohell.com,3.900703706060795E-4,635143
mugspade.ru,5.1270247264074676E-5,136469
mugspade.ru,5.465943299630191E-5,144894
firewall.happytohell.com,2.680670695255152E-4,488805
www.redlinesys.net,2.7718854055178225E-4,500413
omegaartworld.com,2.771885405894764E-4,500414
firewall.happytohell.com,5.07149185056944E-4,770499
