Nov 10, 2016 4:16:14 PM WARNING: parquet.hadoop.ParquetRecordReader: Can not initialize counter due to context is not a instance of TaskInputOutputContext, but is org.apache.hadoop.mapreduce.task.TaskAttemptContextImpl
Nov 10, 2016 4:16:14 PM INFO: parquet.hadoop.InternalParquetRecordReader: RecordReader initialized will read a total of 105 records.
Nov 10, 2016 4:16:14 PM INFO: parquet.hadoop.InternalParquetRecordReader: at row 0. reading next block
Nov 10, 2016 4:16:14 PM INFO: parquet.hadoop.InternalParquetRecordReader: block read in memory in 23 ms. row count = 105
61.178.77.169,7.362687192695307E-7,2478
trapbath.ru,7.599508141263505E-7,2614
trapbath.ru,7.599508141263505E-7,2615
trapbath.ru,7.599508141263505E-7,2616
trapbath.ru,7.599508141263505E-7,2617
61.178.77.169,7.868995917949197E-7,2873
rwyngtbvunfpk.org\r\n,7.87496790115567E-7,2876
rwyngtbvunfpk.org\r\n,7.87496790115567E-7,2877
rwyngtbvunfpk.org\r\n,7.87496790115567E-7,2878
takeinfo.ru\r\n,7.87496790115567E-7,2879
dgyqimolcqm.cm\r\n,7.87496790115567E-7,2880
dgyqimolcqm.cm\r\n,7.87496790115567E-7,2881
dgyqimolcqm.cm\r\n,7.87496790115567E-7,2882
dgyqimolcqm.cm\r\n,7.87496790115567E-7,2883
nginx/0.7.67\r\n,7.895510357202016E-7,2897
nginx/0.7.67\r\n,7.916052813245899E-7,2925
61.178.77.170,9.413766209278144E-7,4018
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.0308585654883997E-6,4606
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.0308585654883997E-6,4607
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.0308585654883997E-6,4608
http://65.49.23.146/55fcc3c269a4de6b730bda9b1163cbd5:s95k9uzazy:1,1.0308585654883997E-6,4609
trapbath.ru,1.0308585654883997E-6,4610
trapbath.ru,1.0308585654883997E-6,4611
trapbath.ru,1.0308585654883997E-6,4612
sgb-sy.com,1.0308585654883997E-6,4613
sgb-sy.com,1.0308585654883997E-6,4614
sgb-sy.com,1.0308585654883997E-6,4615
sgb-sy.com,1.0308585654883997E-6,4616
telecrop.com,1.0308585654883997E-6,4617
telecrop.com,1.0308585654883997E-6,4618
telecrop.com,1.0308585654883997E-6,4619
telecrop.com,1.0308585654883997E-6,4620
nginx,1.0308585654883997E-6,4621
nginx,1.0308585654883997E-6,4622
www.download.windowsupdate.com,1.0308585654883997E-6,4623
www.download.windowsupdate.com,1.0308585654883997E-6,4624
www.download.windowsupdate.com,1.0308585654883997E-6,4625
www.download.windowsupdate.com,1.0308585654883997E-6,4626
www.download.windowsupdate.com,1.0308585654883997E-6,4627
64.235.43.131,1.0317698699763201E-6,4633
64.235.43.131,1.0345037833372873E-6,4651
vcvcvcvc.dyndns.org ,1.1405230425978148E-6,5584
vcvcvcvc.dyndns.org ,1.1405230425978236E-6,5585
vcvcvcvc.dyndns.org ,1.1405230425978558E-6,5586
www.dnswatch.info,1.149783447790287E-6,5641
146.185.213.35,1.2136398952617991E-6,5927
trapbath.ru,1.5199016281615906E-6,7502
trapbath.ru,1.5199016281615906E-6,7503
rwyngtbvunfpk.org\r\n,1.574993580294218E-6,7830
rwyngtbvunfpk.org\r\n,1.574993580294218E-6,7831
64.235.43.131,1.574993580294218E-6,7832
64.235.43.131,1.574993580294218E-6,7833
64.235.43.131,1.574993580294218E-6,7834
takeinfo.ru\r\n,1.574993580294218E-6,7835
takeinfo.ru\r\n,1.574993580294218E-6,7836
takeinfo.ru\r\n,1.574993580294218E-6,7837
takeinfo.ru\r\n,1.574993580294218E-6,7838
nginx/0.7.67\r\n,1.574993580294218E-6,7839
vcvcvcvc.dyndns.org ,1.722216395110802E-6,8770
vcvcvcvc.dyndns.org ,1.722216395187637E-6,8771
trapbath.ru,2.06171713085321E-6,10541
trapbath.ru,2.06171713085321E-6,10542
64.235.43.131,2.06171713085321E-6,10543
64.235.43.131,2.06171713085321E-6,10544
sgb-sy.com,2.06171713085321E-6,10545
sgb-sy.com,2.06171713085321E-6,10546
telecrop.com,2.06171713085321E-6,10547
telecrop.com,2.06171713085321E-6,10548
nginx,2.06171713085321E-6,10549
nginx,2.06171713085321E-6,10550
64.235.43.131,2.0626284353411305E-6,10555
64.235.43.131,2.0626284353411305E-6,10556
146.185.213.35,2.123397242231265E-6,10889
nginx,3.0925756962545645E-6,16086
nginx,3.0925756962545645E-6,16087
nginx,3.0925756962545645E-6,16088
nginx,3.0925756962545645E-6,16089
nginx,3.0925756962545645E-6,16090
nginx,3.0925756962545645E-6,16091
64.235.43.131,3.1520414063190385E-6,16394
64.235.43.131,3.1520414063190385E-6,16395
nginx/0.7.67\r\n,3.1520414063190385E-6,16396
nginx/0.7.67\r\n,3.1520414063190385E-6,16397
vcvcvcvc.dyndns.org ,3.4444327900151277E-6,18016
vcvcvcvc.dyndns.org ,3.4444327900151277E-6,18017
vcvcvcvc.dyndns.org ,3.4444327901687973E-6,18018
vcvcvcvc.dyndns.org ,3.4444327901687973E-6,18019
mugspade.ru,4.40771472172823E-5,157807
www.redlinesys.net,1.7250153897439903E-4,441027
omegaartworld.com,1.7394667426429432E-4,443593
www.redlinesys.net,1.8232506581880735E-4,458434
omegaartworld.com,1.8770785108395733E-4,467349
www.redlinesys.net,1.8770785108395733E-4,467350
firewall.happytohell.com,3.597136490710781E-4,748066
www.dnswatch.info,1.555371902761116E-5,67155
www.dnswatch.info,2.1494514422744438E-5,87533
firewall.happytohell.com,1.5052312136119148E-4,400647
omegaartworld.com,1.5351006440775285E-4,406008
firewall.happytohell.com,1.551823442562809E-4,409225
146.185.213.35,1.6779001723685964E-4,432063
firewall.happytohell.com,1.2182765177096196E-4,344400
firewall.happytohell.com,1.3870519388166846E-4,379107
mugspade.ru,3.115798337904618E-5,119326
mugspade.ru,3.691266024127744E-5,137484
firewall.happytohell.com,2.4441611594975475E-4,561858
