"time","sip","dip","sport","dport","score","rank","original","type","label","y","TP","FP"
"2016-11-11 02:52:36","12.166.1.86","25.0.3.90",18784,25,0.00114324244043634,114268438,"TCP 12.166.1.86:18784->25.0.3.90:25","TCP","bad",1809,0.261529564840249,0.000358735671985845
"2016-11-11 02:52:36","12.166.1.86","25.0.3.90",18784,25,0.00114324244043634,114268438,"TCP 12.166.1.86:18784->25.0.3.90:25","TCP","bad",1810,0.261674136186208,0.000358735668846383
"2016-11-11 02:50:34","213.184.3.25","25.0.3.90",29807,25,0.00114324244043634,114268439,"TCP 213.184.3.25:29807->25.0.3.90:25","TCP","bad",1811,0.261818707532167,0.000358735668846383
"2016-11-11 02:50:34","213.184.3.25","25.0.3.90",29807,25,0.00114324244043634,114268439,"TCP 213.184.3.25:29807->25.0.3.90:25","TCP","bad",1812,0.261963278878126,0.000358735665706922
"2016-11-11 02:45:28","213.184.2.62","25.0.2.251",22986,25,0.00114324244043634,114268440,"TCP 213.184.2.62:22986->25.0.2.251:25","TCP","bad",1813,0.262107850224086,0.000358735665706922
"2016-11-11 02:45:28","213.184.2.62","25.0.2.251",22986,25,0.00114324244043634,114268440,"TCP 213.184.2.62:22986->25.0.2.251:25","TCP","bad",1814,0.262252421570045,0.000358735662567461
"2016-11-11 02:40:04","80.66.4.154","25.0.2.204",32144,25,0.00114324244043634,114268441,"TCP 80.66.4.154:32144->25.0.2.204:25","TCP","bad",1815,0.262396992916004,0.000358735662567461
"2016-11-11 02:40:04","80.66.4.154","25.0.2.204",32144,25,0.00114324244043634,114268441,"TCP 80.66.4.154:32144->25.0.2.204:25","TCP","bad",1816,0.262541564261963,0.000358735659427999
"2016-11-11 02:49:59","80.66.0.53","25.0.2.204",45727,25,0.00114324244043634,114268442,"TCP 80.66.0.53:45727->25.0.2.204:25","TCP","bad",1817,0.262686135607923,0.000358735659427999
"2016-11-11 02:49:59","80.66.0.53","25.0.2.204",45727,25,0.00114324244043634,114268442,"TCP 80.66.0.53:45727->25.0.2.204:25","TCP","bad",1818,0.262830706953882,0.000358735656288538
