"dnsRecordID","score","rank","label","y","TP","FP"
"1","1",0,"null",0,0,0
"6015","4.22846228057176e-07",450069,"bad",1,6.90846286701209e-05,0.00258122987045262
"6005","5.85188099342451e-07",569616,"bad",2,0.000138169257340242,0.0032668500569425
"6005","5.85188099342451e-07",569618,"bad",3,0.000207253886010363,0.00326685579214223
"6021","5.93484064013345e-07",575333,"bad",4,0.000276338514680484,0.00329962672337877
"6006","6.28545461307812e-07",598346,"bad",5,0.000345423143350604,0.00343160513948224
"6014","6.75722191685498e-07",629022,"bad",6,0.000414507772020725,0.00360753239108896
"6015","6.94075888991125e-07",640724,"bad",7,0.000483592400690846,0.00367463996308734
"6021","6.95880523599299e-07",641746,"bad",8,0.000552677029360967,0.00368049560200797
"6006","7.1172864743472e-07",651602,"bad",9,0.000621761658031088,0.00373701599531145
"6005","7.16730185433376e-07",654533,"bad",10,0.000690846286701209,0.00375382013050975
"6006","7.69779604631016e-07",690607,"bad",11,0.00075993091537133,0.00396070599023947
"6017","9.50023559925564e-07",800223,"bad",12,0.000829015544041451,0.00458936990824667
"6017","9.50023559925564e-07",800224,"bad",13,0.000898100172711572,0.00458936990824667
"6017","9.50023559925564e-07",800225,"bad",14,0.000967184801381693,0.00458936990824667
"6017","9.50023559925564e-07",800226,"bad",15,0.00103626943005181,0.00458936990824667
"6017","9.50023559925564e-07",800227,"bad",16,0.00110535405872193,0.00458936990824667
"6017","9.50023559925564e-07",800228,"bad",17,0.00117443868739206,0.00458936990824667
"6017","9.50023559925564e-07",800229,"bad",18,0.00124352331606218,0.00458936990824667
"6011","1.12553717758526e-06",892980,"bad",19,0.0013126079447323,0.00512130968286846
"6017","1.15103996267258e-06",906199,"bad",20,0.00138169257340242,0.00519711755285176
"6017","1.15103996267258e-06",906200,"bad",21,0.00145077720207254,0.00519711755285176
"6017","1.15103996267258e-06",906201,"bad",22,0.00151986183074266,0.00519711755285176
"6017","1.15103996267258e-06",906202,"bad",23,0.00158894645941278,0.00519711755285176
"6017","1.15103996267258e-06",906203,"bad",24,0.0016580310880829,0.00519711755285176
"6017","1.15103996267258e-06",906204,"bad",25,0.00172711571675302,0.00519711755285176
"6017","1.15103996267258e-06",906205,"bad",26,0.00179620034542314,0.00519711755285176
"6017","1.15103996267258e-06",906206,"bad",27,0.00186528497409326,0.00519711755285176
"6017","1.15103996267258e-06",906207,"bad",28,0.00193436960276339,0.00519711755285176
"6017","1.15103996267258e-06",906208,"bad",29,0.00200345423143351,0.00519711755285176
"6017","1.15103996267258e-06",906209,"bad",30,0.00207253886010363,0.00519711755285176
"6023","1.21520188680619e-06",940149,"bad",31,0.00214162348877375,0.00539176449636539
"6006","1.48201341461068e-06",1066137,"bad",32,0.00221070811744387,0.00611432510429289
"6020","1.62214391183064e-06",1127822,"bad",33,0.00227979274611399,0.00646809516421494
"6020","1.62214391183064e-06",1127824,"bad",34,0.00234887737478411,0.00646810089941467
"6014","2.00394309337787e-06",1300210,"bad",35,0.00241796200345423,0.00745676330424677
"6019","2.03697003188648e-06",1316348,"bad",36,0.00248704663212435,0.00754931222223137
"6016","2.45628014425614e-06",1519518,"bad",37,0.00255613126079447,0.00871452701544037
"6016","2.45628014425614e-06",1519519,"bad",38,0.00262521588946459,0.00871452701544037
"6007","2.59704315981866e-06",1593866,"bad",39,0.00269430051813471,0.00914091617429786
"6007","2.99206692268071e-06",1800515,"bad",40,0.00276338514680484,0.0103260837273549
"6005","3.36544053167541e-06",2005633,"bad",41,0.00283246977547496,0.0115024706896309
"6015","3.44529208601346e-06",2051836,"bad",42,0.00290155440414508,0.0117674483873892
"6015","3.44529208601346e-06",2051838,"bad",43,0.0029706390328152,0.0117674541225889
"6008","3.45218078565986e-06",2055708,"bad",44,0.00303972366148532,0.0117896436103303
